[2016-11-08 12:04:27,014] >> Loading model
[2016-11-08 12:04:27,608] >> Loading datasets
[2016-11-08 12:04:27,657] >> Reconstruction training started with arguments:
{'activation_noise': None,
 'adadelta': False,
 'adadelta_epsilon': '1e-6',
 'adadelta_rho': '0.95',
 'adagrad': False,
 'adagrad_decay': False,
 'batch_size': 128,
 'ce_sparsity': 0.01,
 'ce_sparsity_weight': 0.0,
 'compound': False,
 'corruption_level': 0.2,
 'datasets': (DatasetContainer [PFileStreamDataset@/home/ddraper/train.pfile],
              DatasetContainer [],
              DatasetContainer []),
 'epochs': 50,
 'fix_layers': [],
 'graph': False,
 'hooks': [],
 'l1_reg': '0.0',
 'l2_reg': '0.0',
 'layer_args': {},
 'layers': [1],
 'learning_rate': '0.01',
 'loss': u'mse',
 'minibatches': 2000000,
 'momentum': '',
 'noise': 'mask',
 'sparsity': 0.05,
 'sparsity_weight': 0.0,
 'validate': False,
 'verbosity': 1,
 'warn': False}
[2016-11-08 12:04:27,658] >> Reconstruction training started with da:
{'hidden_activation': u'sigmoid',
 u'loss': u'mse',
 'n_hidden': 1000,
 'n_visible': 966,
 'tied_weights': True,
 'visible_activation': u'tanh'}
[2016-11-08 12:04:27,658] >> Compiling theano graph
Using gpu device 0: Tesla M2075 (CNMeM is disabled, cuDNN not available)
[2016-11-08 12:05:46,383] >> Training started
[2016-11-08 12:07:07,022] >> epoch 0/10000, average cost 96.843910
[2016-11-08 12:09:17,204] >> epoch 0/20000, average cost 48.254677
[2016-11-08 12:11:01,981] >> epoch 0/30000, average cost 34.632133
[2016-11-08 12:12:51,693] >> epoch 0/40000, average cost 28.186874
[2016-11-08 12:14:50,632] >> epoch 0/50000, average cost 25.030989
[2016-11-08 12:16:47,185] >> epoch 0/60000, average cost 23.132395
[2016-11-08 12:18:45,873] >> epoch 0/70000, average cost 20.930882
[2016-11-08 12:20:46,475] >> epoch 0/80000, average cost 19.851053
[2016-11-08 12:22:11,551] >> epoch 0/90000, average cost 18.711416
[2016-11-08 12:24:16,848] >> epoch 0/100000, average cost 18.027142
[2016-11-08 12:26:18,813] >> epoch 0/110000, average cost 16.995165
[2016-11-08 12:28:19,343] >> epoch 0/120000, average cost 16.602552
[2016-11-08 12:30:31,133] >> epoch 0/130000, average cost 16.401209
[2016-11-08 12:32:44,748] >> epoch 0/140000, average cost 16.106297
[2016-11-08 12:34:41,807] >> epoch 0/150000, average cost 15.684434
[2016-11-08 12:36:49,999] >> epoch 0/160000, average cost 15.592734
[2016-11-08 12:39:19,775] >> epoch 0/170000, average cost 15.522755
[2016-11-08 12:40:43,802] >> epoch 0/180000, average cost 15.407825
[2016-11-08 12:42:48,291] >> epoch 0/190000, average cost 15.403406
[2016-11-08 12:45:15,979] >> epoch 0/200000, average cost 15.330156
[2016-11-08 12:47:57,331] >> epoch 0/210000, average cost 15.217558
[2016-11-08 12:50:23,575] >> epoch 0/220000, average cost 15.146573
[2016-11-08 12:52:43,663] >> epoch 0/230000, average cost 15.107683
[2016-11-08 12:54:36,222] >> epoch 0/240000, average cost 15.071347
[2016-11-08 12:56:38,353] >> epoch 0/250000, average cost 14.986859
[2016-11-08 12:58:57,611] >> epoch 0/260000, average cost 14.983477
[2016-11-08 13:00:24,217] >> epoch 0/270000, average cost 14.934323
[2016-11-08 13:02:23,093] >> epoch 0/280000, average cost 14.888236
[2016-11-08 13:04:10,644] >> epoch 0/290000, average cost 14.833257
[2016-11-08 13:06:17,264] >> epoch 0/300000, average cost 14.797940
[2016-11-08 13:08:09,154] >> epoch 0/310000, average cost 14.819662
[2016-11-08 13:10:23,583] >> epoch 0/320000, average cost 14.751951
[2016-11-08 13:12:17,404] >> epoch 0/330000, average cost 14.735811
[2016-11-08 13:12:29,542] >> epoch 1/333330, average cost 20.754856
[2016-11-08 13:16:02,981] >> epoch 1/350000, average cost 14.656597
[2016-11-08 13:17:21,387] >> epoch 1/360000, average cost 14.680353
[2016-11-08 13:18:19,128] >> epoch 1/370000, average cost 14.608129
[2016-11-08 13:19:36,512] >> epoch 1/380000, average cost 14.581573
