[2016-11-23 16:39:50,121] >> Loading model
[2016-11-23 16:39:50,702] >> Loading datasets
[2016-11-23 16:39:52,238] >> Reconstruction training started with arguments:
{'activation_noise': None,
 'adadelta': False,
 'adadelta_epsilon': '1e-6',
 'adadelta_rho': '0.95',
 'adagrad': False,
 'adagrad_decay': False,
 'batch_size': 128,
 'ce_sparsity': 0.01,
 'ce_sparsity_weight': 0.0,
 'compound': False,
 'corruption_level': 0.2,
 'datasets': (DatasetContainer [PFileStreamDataset@/export/data1/data/ddraper/train.4.pfile],
              DatasetContainer [],
              DatasetContainer []),
 'epochs': 50,
 'fix_layers': [],
 'graph': False,
 'hooks': [],
 'l1_reg': '0.0',
 'l2_reg': '0.0',
 'layer_args': {},
 'layers': [1],
 'learning_rate': '0.01',
 'loss': u'mse',
 'minibatches': 2000000,
 'momentum': '',
 'noise': 'mask',
 'sparsity': 0.05,
 'sparsity_weight': 0.0,
 'validate': False,
 'verbosity': 1,
 'warn': False}
[2016-11-23 16:39:52,238] >> Reconstruction training started with da:
{'hidden_activation': u'sigmoid',
 u'loss': u'mse',
 'n_hidden': 1000,
 'n_visible': 966,
 'tied_weights': True,
 'visible_activation': u'tanh'}
[2016-11-23 16:39:52,238] >> Compiling theano graph
Using gpu device 0: Tesla M2075 (CNMeM is disabled, cuDNN not available)
[2016-11-23 16:41:58,947] >> Training started
[2016-11-23 16:43:24,511] >> epoch 0/10000, average cost 85.167656
[2016-11-23 16:46:21,778] >> epoch 0/20000, average cost 42.787724
[2016-11-23 16:48:29,167] >> epoch 0/30000, average cost 32.160591
[2016-11-23 16:52:05,987] >> epoch 0/40000, average cost 27.232006
[2016-11-23 16:53:58,045] >> epoch 0/50000, average cost 23.072084
[2016-11-23 16:56:53,737] >> epoch 0/60000, average cost 21.705500
[2016-11-23 16:58:33,477] >> epoch 0/70000, average cost 20.129606
[2016-11-23 16:59:48,595] >> epoch 0/80000, average cost 19.637377
[2016-11-23 17:02:45,345] >> epoch 0/90000, average cost 19.169800
[2016-11-23 17:04:30,990] >> epoch 0/100000, average cost 18.073738
[2016-11-23 17:07:11,606] >> epoch 0/110000, average cost 17.699644
[2016-11-23 17:08:48,926] >> epoch 0/120000, average cost 17.427301
[2016-11-23 17:10:56,508] >> epoch 0/130000, average cost 17.260687
[2016-11-23 17:14:02,398] >> epoch 0/140000, average cost 17.197813
[2016-11-23 17:15:26,681] >> epoch 0/150000, average cost 17.168390
[2016-11-23 17:17:31,418] >> epoch 0/160000, average cost 17.034235
[2016-11-23 17:18:57,073] >> epoch 0/170000, average cost 17.009716
[2016-11-23 17:21:07,405] >> epoch 0/180000, average cost 16.863882
[2016-11-23 17:21:19,901] >> epoch 1/183474, average cost 24.670567
[2016-11-23 17:25:38,113] >> epoch 1/200000, average cost 16.740652
[2016-11-23 17:28:59,505] >> epoch 1/210000, average cost 16.654898
[2016-11-23 17:30:54,671] >> epoch 1/220000, average cost 16.582623
[2016-11-23 17:34:28,848] >> epoch 1/230000, average cost 16.537081
[2016-11-23 17:36:35,244] >> epoch 1/240000, average cost 16.486286
[2016-11-23 17:38:32,527] >> epoch 1/250000, average cost 16.464378
[2016-11-23 17:40:17,545] >> epoch 1/260000, average cost 16.378124
[2016-11-23 17:41:41,769] >> epoch 1/270000, average cost 16.286751
[2016-11-23 17:43:58,990] >> epoch 1/280000, average cost 16.248827
[2016-11-23 17:45:09,040] >> epoch 1/290000, average cost 16.231003
[2016-11-23 17:48:18,131] >> epoch 1/300000, average cost 16.183815
[2016-11-23 17:49:38,233] >> epoch 1/310000, average cost 16.070572
[2016-11-23 17:52:11,143] >> epoch 1/320000, average cost 16.037209
[2016-11-23 17:54:32,455] >> epoch 1/330000, average cost 16.080587
[2016-11-23 17:55:48,357] >> epoch 1/340000, average cost 15.995685
[2016-11-23 17:57:53,355] >> epoch 1/350000, average cost 16.007271
[2016-11-23 17:59:15,110] >> epoch 1/360000, average cost 15.939603
[2016-11-23 18:00:22,473] >> epoch 2/366948, average cost 16.293955
[2016-11-23 18:04:01,147] >> epoch 2/380000, average cost 15.902328
[2016-11-23 18:05:58,774] >> epoch 2/390000, average cost 15.834391
[2016-11-23 18:09:20,580] >> epoch 2/400000, average cost 15.826542
[2016-11-23 18:11:27,295] >> epoch 2/410000, average cost 15.774509
[2016-11-23 18:14:47,338] >> epoch 2/420000, average cost 15.770523
[2016-11-23 18:16:13,650] >> epoch 2/430000, average cost 15.787229
[2016-11-23 18:17:40,113] >> epoch 2/440000, average cost 15.730569
