[2017-02-13 12:02:28,877] >> Loading model
[2017-02-13 12:02:29,673] >> Loading datasets
[2017-02-13 12:02:29,691] >> Reconstruction training started with arguments:
{'activation_noise': None,
 'adadelta': False,
 'adadelta_epsilon': '1e-6',
 'adadelta_rho': '0.95',
 'adagrad': False,
 'adagrad_decay': False,
 'batch_size': 128,
 'ce_sparsity': 0.01,
 'ce_sparsity_weight': 0.0,
 'compound': False,
 'corruption_level': 0.2,
 'datasets': (DatasetContainer [PFileStreamDataset@/export/data1/data/mmueller/research/LanguageCode/lc32ms/train.pfile],
              DatasetContainer [],
              DatasetContainer []),
 'epochs': 50,
 'fix_layers': [],
 'graph': False,
 'hooks': [],
 'l1_reg': '0.0',
 'l2_reg': '0.0',
 'layer_args': {},
 'layers': [1],
 'learning_rate': '0.01',
 'loss': u'mse',
 'minibatches': 2000000,
 'momentum': '',
 'noise': 'mask',
 'sparsity': 0.05,
 'sparsity_weight': 0.0,
 'validate': False,
 'verbosity': 1,
 'warn': False}
[2017-02-13 12:02:29,691] >> Reconstruction training started with da:
{'hidden_activation': u'sigmoid',
 u'loss': u'mse',
 'n_hidden': 1000,
 'n_visible': 966,
 'tied_weights': True,
 'visible_activation': u'tanh'}
[2017-02-13 12:02:29,691] >> Compiling theano graph
Using gpu device 0: Tesla K20m (CNMeM is disabled, cuDNN 4007)
[2017-02-13 12:08:59,804] >> Training started
[2017-02-13 12:09:56,400] >> epoch 0/10000, average cost 99.972519
[2017-02-13 12:11:41,657] >> epoch 0/20000, average cost 46.352043
[2017-02-13 12:13:09,809] >> epoch 0/30000, average cost 31.485830
[2017-02-13 12:15:14,341] >> epoch 0/40000, average cost 26.586226
[2017-02-13 12:16:43,016] >> epoch 0/50000, average cost 24.126844
[2017-02-13 12:18:46,294] >> epoch 0/60000, average cost 22.515022
[2017-02-13 12:20:21,032] >> epoch 0/70000, average cost 20.801010
[2017-02-13 12:22:14,541] >> epoch 0/80000, average cost 19.728516
[2017-02-13 12:23:36,757] >> epoch 0/90000, average cost 18.899513
[2017-02-13 12:26:01,914] >> epoch 0/100000, average cost 18.617142
[2017-02-13 12:27:24,707] >> epoch 0/110000, average cost 18.105370
[2017-02-13 12:29:22,359] >> epoch 0/120000, average cost 17.898693
[2017-02-13 12:30:59,124] >> epoch 0/130000, average cost 17.782711
[2017-02-13 12:32:51,491] >> epoch 0/140000, average cost 17.678556
[2017-02-13 12:34:44,248] >> epoch 0/150000, average cost 17.551563
[2017-02-13 12:36:13,648] >> epoch 0/160000, average cost 17.471684
[2017-02-13 12:37:48,276] >> epoch 0/170000, average cost 17.395597
[2017-02-13 12:39:21,927] >> epoch 0/180000, average cost 17.281914
[2017-02-13 12:41:15,549] >> epoch 0/190000, average cost 17.213417
[2017-02-13 12:42:56,513] >> epoch 0/200000, average cost 17.210806
[2017-02-13 12:45:01,571] >> epoch 0/210000, average cost 17.109941
[2017-02-13 12:46:35,113] >> epoch 0/220000, average cost 17.075459
[2017-02-13 12:48:27,641] >> epoch 0/230000, average cost 17.026802
[2017-02-13 12:50:02,013] >> epoch 0/240000, average cost 16.967550
[2017-02-13 12:51:49,778] >> epoch 0/250000, average cost 16.947393
[2017-02-13 12:53:32,723] >> epoch 0/260000, average cost 16.874470
[2017-02-13 12:55:53,872] >> epoch 0/270000, average cost 16.806290
[2017-02-13 12:57:33,792] >> epoch 0/280000, average cost 16.805096
[2017-02-13 12:59:36,955] >> epoch 0/290000, average cost 16.739735
[2017-02-13 13:01:27,998] >> epoch 0/300000, average cost 16.699013
[2017-02-13 13:02:51,241] >> epoch 0/310000, average cost 16.672882
[2017-02-13 13:04:42,368] >> epoch 0/320000, average cost 16.608091
[2017-02-13 13:06:24,747] >> epoch 0/330000, average cost 16.559986
[2017-02-13 13:08:17,648] >> epoch 0/340000, average cost 16.556734
[2017-02-13 13:09:52,070] >> epoch 0/350000, average cost 16.574360
[2017-02-13 13:11:29,108] >> epoch 0/360000, average cost 16.489195
[2017-02-13 13:12:51,124] >> epoch 0/370000, average cost 16.485695
[2017-02-13 13:14:48,881] >> epoch 0/380000, average cost 16.417589
[2017-02-13 13:16:23,013] >> epoch 0/390000, average cost 16.392141
[2017-02-13 13:18:03,977] >> epoch 0/400000, average cost 16.363798
[2017-02-13 13:19:49,258] >> epoch 0/410000, average cost 16.356106
[2017-02-13 13:21:39,447] >> epoch 0/420000, average cost 16.320705
[2017-02-13 13:23:18,056] >> epoch 0/430000, average cost 16.310183
[2017-02-13 13:25:11,740] >> epoch 0/440000, average cost 16.257629
[2017-02-13 13:27:01,346] >> epoch 0/450000, average cost 16.236567
[2017-02-13 13:29:45,735] >> epoch 0/460000, average cost 16.240480
[2017-02-13 13:32:42,519] >> epoch 0/470000, average cost 16.209244
[2017-02-13 13:35:09,775] >> epoch 0/480000, average cost 16.198622
[2017-02-13 13:37:34,539] >> epoch 0/490000, average cost 16.155153
[2017-02-13 13:39:15,760] >> epoch 0/500000, average cost 16.137047
[2017-02-13 13:40:57,395] >> epoch 0/510000, average cost 16.154026
[2017-02-13 13:42:55,477] >> epoch 0/520000, average cost 16.107861
[2017-02-13 13:45:03,408] >> epoch 0/530000, average cost 16.069120
[2017-02-13 13:47:02,547] >> epoch 0/540000, average cost 16.018881
[2017-02-13 13:49:02,522] >> epoch 0/550000, average cost 16.051088
[2017-02-13 13:50:39,109] >> epoch 0/560000, average cost 16.014212
[2017-02-13 13:52:19,709] >> epoch 0/570000, average cost 16.023716
[2017-02-13 13:54:16,997] >> epoch 0/580000, average cost 16.020805
[2017-02-13 13:55:41,110] >> epoch 0/590000, average cost 15.973466
[2017-02-13 13:57:11,711] >> epoch 0/600000, average cost 15.936956
[2017-02-13 13:58:57,609] >> epoch 0/610000, average cost 15.974222
[2017-02-13 14:00:39,761] >> epoch 0/620000, average cost 15.919653
[2017-02-13 14:02:15,646] >> epoch 0/630000, average cost 15.905750
[2017-02-13 14:04:05,533] >> epoch 0/640000, average cost 15.915303
[2017-02-13 14:05:38,320] >> epoch 0/650000, average cost 15.848704
[2017-02-13 14:07:44,911] >> epoch 0/660000, average cost 15.850748
[2017-02-13 14:09:14,739] >> epoch 0/670000, average cost 15.833847
[2017-02-13 14:13:32,793] >> epoch 0/680000, average cost 15.815537
[2017-02-13 14:14:52,619] >> epoch 0/690000, average cost 15.801297
[2017-02-13 14:17:40,883] >> epoch 0/700000, average cost 15.768703
[2017-02-13 14:19:24,357] >> epoch 0/710000, average cost 15.765909
[2017-02-13 14:21:15,877] >> epoch 0/720000, average cost 15.782433
[2017-02-13 14:23:31,394] >> epoch 0/730000, average cost 15.723310
[2017-02-13 14:25:13,188] >> epoch 0/740000, average cost 15.752047
[2017-02-13 14:27:26,061] >> epoch 0/750000, average cost 15.731428
[2017-02-13 14:28:38,303] >> epoch 0/760000, average cost 15.697778
[2017-02-13 14:31:28,165] >> epoch 0/770000, average cost 15.719428
[2017-02-13 14:33:09,409] >> epoch 0/780000, average cost 15.698920
[2017-02-13 14:35:27,801] >> epoch 0/790000, average cost 15.684308
[2017-02-13 14:37:00,632] >> epoch 0/800000, average cost 15.690670
[2017-02-13 14:39:15,229] >> epoch 0/810000, average cost 15.660484
[2017-02-13 14:40:38,581] >> epoch 0/820000, average cost 15.594166
[2017-02-13 14:42:43,100] >> epoch 0/830000, average cost 15.591494
[2017-02-13 14:44:11,732] >> epoch 0/840000, average cost 15.602637
[2017-02-13 14:46:12,497] >> epoch 0/850000, average cost 15.639233
[2017-02-13 14:48:13,504] >> epoch 0/860000, average cost 15.585365
[2017-02-13 14:49:32,791] >> epoch 0/870000, average cost 15.570178
[2017-02-13 14:50:52,471] >> epoch 0/880000, average cost 15.538028
[2017-02-13 14:52:03,901] >> epoch 0/890000, average cost 15.550006
[2017-02-13 14:54:00,527] >> epoch 0/900000, average cost 15.539963
[2017-02-13 14:56:41,047] >> epoch 0/910000, average cost 15.528846
[2017-02-13 14:58:22,428] >> epoch 0/920000, average cost 15.494463
[2017-02-13 15:00:02,416] >> epoch 0/930000, average cost 15.506172
[2017-02-13 15:01:54,096] >> epoch 0/940000, average cost 15.493776
[2017-02-13 15:03:30,667] >> epoch 0/950000, average cost 15.496696
[2017-02-13 15:05:27,349] >> epoch 0/960000, average cost 15.472964
[2017-02-13 15:07:05,439] >> epoch 0/970000, average cost 15.445012
[2017-02-13 15:09:03,772] >> epoch 0/980000, average cost 15.423187
[2017-02-13 15:10:37,015] >> epoch 0/990000, average cost 15.419997
[2017-02-13 15:12:39,132] >> epoch 0/1000000, average cost 15.411079
[2017-02-13 15:14:27,392] >> epoch 0/1010000, average cost 15.366661
[2017-02-13 15:16:09,766] >> epoch 0/1020000, average cost 15.357189
[2017-02-13 15:18:03,475] >> epoch 0/1030000, average cost 15.367672
[2017-02-13 15:19:46,249] >> epoch 0/1040000, average cost 15.358915
[2017-02-13 15:21:36,702] >> epoch 0/1050000, average cost 15.361037
[2017-02-13 15:23:12,127] >> epoch 0/1060000, average cost 15.365600
[2017-02-13 15:25:04,553] >> epoch 0/1070000, average cost 15.333831
[2017-02-13 15:26:36,629] >> epoch 0/1080000, average cost 15.314939
[2017-02-13 15:28:08,131] >> epoch 0/1090000, average cost 15.319437
[2017-02-13 15:29:47,815] >> epoch 0/1100000, average cost 15.285839
[2017-02-13 15:31:42,697] >> epoch 0/1110000, average cost 15.271702
[2017-02-13 15:33:04,156] >> epoch 0/1120000, average cost 15.268454
[2017-02-13 15:34:52,904] >> epoch 0/1130000, average cost 15.248347
[2017-02-13 15:36:36,064] >> epoch 0/1140000, average cost 15.241853
[2017-02-13 15:38:20,069] >> epoch 0/1150000, average cost 15.194696
[2017-02-13 15:40:10,496] >> epoch 0/1160000, average cost 15.202782
[2017-02-13 15:42:19,562] >> epoch 0/1170000, average cost 15.201191
[2017-02-13 15:44:33,751] >> epoch 0/1180000, average cost 15.163878
[2017-02-13 15:46:10,101] >> epoch 0/1190000, average cost 15.163114
[2017-02-13 15:48:00,886] >> epoch 0/1200000, average cost 15.153971
[2017-02-13 15:49:39,492] >> epoch 0/1210000, average cost 15.130197
[2017-02-13 15:51:33,454] >> epoch 0/1220000, average cost 15.122483
[2017-02-13 15:53:10,309] >> epoch 0/1230000, average cost 15.143173
[2017-02-13 15:54:53,228] >> epoch 0/1240000, average cost 15.131772
[2017-02-13 15:56:31,591] >> epoch 0/1250000, average cost 15.100211
[2017-02-13 15:58:16,525] >> epoch 0/1260000, average cost 15.080203
[2017-02-13 16:00:04,196] >> epoch 0/1270000, average cost 15.100373
[2017-02-13 16:01:42,207] >> epoch 0/1280000, average cost 15.096234
[2017-02-13 16:04:09,088] >> epoch 0/1290000, average cost 15.061308
[2017-02-13 16:05:48,460] >> epoch 0/1300000, average cost 15.066372
[2017-02-13 16:07:27,263] >> epoch 0/1310000, average cost 15.015473
[2017-02-13 16:09:01,301] >> epoch 0/1320000, average cost 15.012156
[2017-02-13 16:10:50,561] >> epoch 0/1330000, average cost 15.003061
[2017-02-13 16:12:21,729] >> epoch 0/1340000, average cost 14.992239
[2017-02-13 16:14:27,325] >> epoch 0/1350000, average cost 15.012697
[2017-02-13 16:16:10,412] >> epoch 0/1360000, average cost 15.010023
[2017-02-13 16:17:43,281] >> epoch 0/1370000, average cost 14.981283
[2017-02-13 16:18:14,043] >> epoch 1/1373635, average cost 17.145245
[2017-02-13 16:21:45,088] >> epoch 1/1390000, average cost 14.964822
[2017-02-13 16:23:24,520] >> epoch 1/1400000, average cost 14.943978
[2017-02-13 16:25:17,699] >> epoch 1/1410000, average cost 14.939903
[2017-02-13 16:27:00,676] >> epoch 1/1420000, average cost 14.927583
[2017-02-13 16:28:46,947] >> epoch 1/1430000, average cost 14.913637
[2017-02-13 16:30:40,946] >> epoch 1/1440000, average cost 14.896132
[2017-02-13 16:32:16,973] >> epoch 1/1450000, average cost 14.892152
[2017-02-13 16:33:59,899] >> epoch 1/1460000, average cost 14.867782
[2017-02-13 16:35:54,635] >> epoch 1/1470000, average cost 14.915994
[2017-02-13 16:37:52,052] >> epoch 1/1480000, average cost 14.849132
[2017-02-13 16:39:32,709] >> epoch 1/1490000, average cost 14.825005
[2017-02-13 16:41:38,946] >> epoch 1/1500000, average cost 14.853806
[2017-02-13 16:43:17,176] >> epoch 1/1510000, average cost 14.850422
