[2017-01-22 18:27:12,485] >> Loading model
[2017-01-22 18:27:14,172] >> Loading datasets
[2017-01-22 18:27:14,175] >> Reconstruction training started with arguments:
{'activation_noise': None,
 'adadelta': False,
 'adadelta_epsilon': '1e-6',
 'adadelta_rho': '0.95',
 'adagrad': False,
 'adagrad_decay': False,
 'batch_size': 128,
 'ce_sparsity': 0.01,
 'ce_sparsity_weight': 0.0,
 'compound': False,
 'corruption_level': 0.2,
 'datasets': (DatasetContainer [PFileStreamDataset@/export/data1/data/ddraper/train.split.pfile],
              DatasetContainer [],
              DatasetContainer []),
 'epochs': 50,
 'fix_layers': [],
 'graph': False,
 'hooks': [],
 'l1_reg': '0.0',
 'l2_reg': '0.0',
 'layer_args': {},
 'layers': [1],
 'learning_rate': '0.01',
 'loss': u'mse',
 'minibatches': 2000000,
 'momentum': '',
 'noise': 'mask',
 'sparsity': 0.05,
 'sparsity_weight': 0.0,
 'validate': False,
 'verbosity': 1,
 'warn': False}
[2017-01-22 18:27:14,175] >> Reconstruction training started with da:
{'hidden_activation': u'sigmoid',
 u'loss': u'mse',
 'n_hidden': 1200,
 'n_visible': 966,
 'tied_weights': True,
 'visible_activation': u'tanh'}
[2017-01-22 18:27:14,175] >> Compiling theano graph
ERROR (theano.sandbox.cuda): ERROR: Not using GPU. Initialisation of device 1 failed:
Bad device number 1. Only 1 devices available.
Using gpu device 0: Tesla M2075 (CNMeM is disabled, cuDNN not available)
[2017-01-22 18:28:31,925] >> Training started
[2017-01-22 18:29:40,403] >> epoch 0/10000, average cost 83.713104
[2017-01-22 18:31:35,199] >> epoch 0/20000, average cost 40.184238
[2017-01-22 18:33:06,506] >> epoch 0/30000, average cost 30.292450
[2017-01-22 18:35:16,134] >> epoch 0/40000, average cost 24.939648
[2017-01-22 18:36:53,976] >> epoch 0/50000, average cost 22.291435
[2017-01-22 18:38:31,154] >> epoch 0/60000, average cost 20.572428
[2017-01-22 18:40:00,077] >> epoch 0/70000, average cost 19.350222
[2017-01-22 18:41:32,861] >> epoch 0/80000, average cost 18.686703
[2017-01-22 18:43:13,358] >> epoch 0/90000, average cost 18.178719
[2017-01-22 18:44:52,988] >> epoch 0/100000, average cost 17.494360
[2017-01-22 18:46:09,500] >> epoch 0/110000, average cost 17.138668
[2017-01-22 18:47:54,540] >> epoch 0/120000, average cost 16.880707
[2017-01-22 18:49:07,574] >> epoch 0/130000, average cost 16.440886
[2017-01-22 18:51:59,305] >> epoch 0/140000, average cost 16.095142
[2017-01-22 18:54:15,871] >> epoch 0/150000, average cost 15.800624
[2017-01-22 18:55:53,025] >> epoch 0/160000, average cost 15.627465
[2017-01-22 18:59:59,636] >> epoch 0/170000, average cost 15.533049
[2017-01-22 19:01:34,815] >> epoch 0/180000, average cost 15.472698
[2017-01-22 19:03:48,321] >> epoch 0/190000, average cost 15.370205
[2017-01-22 19:05:32,982] >> epoch 0/200000, average cost 15.344919
[2017-01-22 19:07:49,453] >> epoch 0/210000, average cost 15.247924
[2017-01-22 19:09:15,013] >> epoch 0/220000, average cost 15.212443
[2017-01-22 19:11:32,382] >> epoch 0/230000, average cost 15.164505
[2017-01-22 19:13:02,311] >> epoch 0/240000, average cost 15.084902
[2017-01-22 19:15:05,773] >> epoch 0/250000, average cost 15.035775
[2017-01-22 19:16:32,544] >> epoch 0/260000, average cost 14.945557
[2017-01-22 19:19:06,103] >> epoch 0/270000, average cost 14.920365
[2017-01-22 19:20:49,784] >> epoch 0/280000, average cost 14.922768
[2017-01-22 19:23:13,694] >> epoch 0/290000, average cost 14.881783
[2017-01-22 19:24:56,804] >> epoch 0/300000, average cost 14.804702
[2017-01-22 19:26:10,390] >> epoch 0/310000, average cost 14.773888
[2017-01-22 19:27:43,149] >> epoch 0/320000, average cost 14.802991
[2017-01-22 19:29:11,386] >> epoch 0/330000, average cost 14.686646
[2017-01-22 19:30:34,388] >> epoch 0/340000, average cost 14.684647
[2017-01-22 19:31:44,992] >> epoch 0/350000, average cost 14.685765
[2017-01-22 19:33:26,796] >> epoch 0/360000, average cost 14.614845
[2017-01-22 19:34:55,673] >> epoch 0/370000, average cost 14.554115
[2017-01-22 19:37:16,811] >> epoch 0/380000, average cost 14.571348
[2017-01-22 19:38:52,130] >> epoch 0/390000, average cost 14.583228
[2017-01-22 19:39:10,111] >> epoch 1/392804, average cost 18.881193
[2017-01-22 19:43:05,357] >> epoch 1/410000, average cost 14.490026
[2017-01-22 19:46:27,506] >> epoch 1/420000, average cost 14.479720
[2017-01-22 19:47:57,064] >> epoch 1/430000, average cost 14.420179
[2017-01-22 19:50:13,465] >> epoch 1/440000, average cost 14.429683
[2017-01-22 19:51:40,619] >> epoch 1/450000, average cost 14.412682
[2017-01-22 19:53:34,663] >> epoch 1/460000, average cost 14.409627
[2017-01-22 19:54:45,394] >> epoch 1/470000, average cost 14.402892
[2017-01-22 19:56:37,996] >> epoch 1/480000, average cost 14.412440
[2017-01-22 19:58:01,596] >> epoch 1/490000, average cost 14.396864
[2017-01-22 19:59:33,494] >> epoch 1/500000, average cost 14.302216
[2017-01-22 20:00:42,113] >> epoch 1/510000, average cost 14.276775
[2017-01-22 20:02:39,688] >> epoch 1/520000, average cost 14.318988
[2017-01-22 20:04:36,132] >> epoch 1/530000, average cost 14.296075
[2017-01-22 20:05:58,741] >> epoch 1/540000, average cost 14.244757
[2017-01-22 20:08:07,191] >> epoch 1/550000, average cost 14.234509
[2017-01-22 20:09:58,515] >> epoch 1/560000, average cost 14.239314
[2017-01-22 20:12:21,175] >> epoch 1/570000, average cost 14.224174
[2017-01-22 20:13:34,415] >> epoch 1/580000, average cost 14.194333
[2017-01-22 20:16:13,414] >> epoch 1/590000, average cost 14.217008
[2017-01-22 20:17:18,678] >> epoch 1/600000, average cost 14.180341
[2017-01-22 20:20:08,465] >> epoch 1/610000, average cost 14.190359
[2017-01-22 20:22:14,218] >> epoch 1/620000, average cost 14.187412
[2017-01-22 20:24:06,567] >> epoch 1/630000, average cost 14.135986
[2017-01-22 20:25:19,874] >> epoch 1/640000, average cost 14.155430
[2017-01-22 20:27:33,293] >> epoch 1/650000, average cost 14.100900
[2017-01-22 20:30:01,439] >> epoch 1/660000, average cost 14.080400
[2017-01-22 20:31:42,897] >> epoch 1/670000, average cost 14.123380
[2017-01-22 20:33:51,807] >> epoch 1/680000, average cost 14.118261
[2017-01-22 20:35:04,510] >> epoch 1/690000, average cost 14.093552
[2017-01-22 20:36:52,145] >> epoch 1/700000, average cost 14.054741
[2017-01-22 20:38:32,603] >> epoch 1/710000, average cost 14.103601
[2017-01-22 20:40:41,890] >> epoch 1/720000, average cost 14.057460
[2017-01-22 20:42:00,912] >> epoch 1/730000, average cost 14.023641
[2017-01-22 20:43:26,914] >> epoch 1/740000, average cost 14.065003
[2017-01-22 20:44:46,958] >> epoch 1/750000, average cost 14.032728
[2017-01-22 20:46:18,028] >> epoch 1/760000, average cost 13.965380
[2017-01-22 20:47:53,042] >> epoch 1/770000, average cost 13.996598
[2017-01-22 20:50:18,232] >> epoch 1/780000, average cost 14.002453
[2017-01-22 20:50:49,441] >> epoch 2/785608, average cost 14.214935
[2017-01-22 20:55:04,378] >> epoch 2/800000, average cost 13.969028
[2017-01-22 20:56:59,295] >> epoch 2/810000, average cost 13.968806
[2017-01-22 21:00:19,252] >> epoch 2/820000, average cost 13.936416
[2017-01-22 21:02:20,335] >> epoch 2/830000, average cost 13.930931
[2017-01-22 21:05:12,435] >> epoch 2/840000, average cost 13.946281
[2017-01-22 21:06:54,135] >> epoch 2/850000, average cost 13.944695
[2017-01-22 21:09:21,914] >> epoch 2/860000, average cost 13.938406
[2017-01-22 21:10:53,005] >> epoch 2/870000, average cost 13.977865
[2017-01-22 21:12:57,448] >> epoch 2/880000, average cost 13.957742
[2017-01-22 21:14:33,020] >> epoch 2/890000, average cost 13.909043
[2017-01-22 21:15:50,299] >> epoch 2/900000, average cost 13.872513
[2017-01-22 21:17:36,242] >> epoch 2/910000, average cost 13.894778
[2017-01-22 21:19:02,682] >> epoch 2/920000, average cost 13.911945
[2017-01-22 21:20:55,491] >> epoch 2/930000, average cost 13.866018
[2017-01-22 21:22:08,759] >> epoch 2/940000, average cost 13.851897
[2017-01-22 21:23:49,360] >> epoch 2/950000, average cost 13.877306
[2017-01-22 21:25:03,504] >> epoch 2/960000, average cost 13.848716
[2017-01-22 21:26:52,797] >> epoch 2/970000, average cost 13.848112
[2017-01-22 21:28:11,356] >> epoch 2/980000, average cost 13.848866
[2017-01-22 21:30:14,006] >> epoch 2/990000, average cost 13.840486
[2017-01-22 21:31:23,895] >> epoch 2/1000000, average cost 13.842703
[2017-01-22 21:33:14,524] >> epoch 2/1010000, average cost 13.839232
[2017-01-22 21:34:30,592] >> epoch 2/1020000, average cost 13.805541
[2017-01-22 21:36:16,589] >> epoch 2/1030000, average cost 13.836912
[2017-01-22 21:38:02,273] >> epoch 2/1040000, average cost 13.794400
[2017-01-22 21:39:54,302] >> epoch 2/1050000, average cost 13.755377
[2017-01-22 21:43:20,774] >> epoch 2/1060000, average cost 13.785680
[2017-01-22 21:44:51,450] >> epoch 2/1070000, average cost 13.813858
[2017-01-22 21:47:01,108] >> epoch 2/1080000, average cost 13.799699
[2017-01-22 21:48:24,212] >> epoch 2/1090000, average cost 13.748610
[2017-01-22 21:49:59,910] >> epoch 2/1100000, average cost 13.779331
[2017-01-22 21:51:29,908] >> epoch 2/1110000, average cost 13.790594
[2017-01-22 21:53:06,504] >> epoch 2/1120000, average cost 13.724996
