[2017-01-20 18:52:19,894] >> Loading model
[2017-01-20 18:52:20,196] >> Loading datasets
[2017-01-20 18:52:20,198] >> Reconstruction training started with arguments:
{'activation_noise': None,
 'adadelta': False,
 'adadelta_epsilon': '1e-6',
 'adadelta_rho': '0.95',
 'adagrad': False,
 'adagrad_decay': False,
 'batch_size': 128,
 'ce_sparsity': 0.01,
 'ce_sparsity_weight': 0.0,
 'compound': False,
 'corruption_level': 0.2,
 'datasets': (DatasetContainer [PFileStreamDataset@/export/data1/data/ddraper/train.split.pfile],
              DatasetContainer [],
              DatasetContainer []),
 'epochs': 50,
 'fix_layers': [],
 'graph': False,
 'hooks': [],
 'l1_reg': '0.0',
 'l2_reg': '0.0',
 'layer_args': {},
 'layers': [1],
 'learning_rate': '0.01',
 'loss': u'mse',
 'minibatches': 2000000,
 'momentum': '',
 'noise': 'mask',
 'sparsity': 0.05,
 'sparsity_weight': 0.0,
 'validate': False,
 'verbosity': 1,
 'warn': False}
[2017-01-20 18:52:20,198] >> Reconstruction training started with da:
{'hidden_activation': u'sigmoid',
 u'loss': u'mse',
 'n_hidden': 1000,
 'n_visible': 966,
 'tied_weights': True,
 'visible_activation': u'tanh'}
[2017-01-20 18:52:20,198] >> Compiling theano graph
ERROR (theano.sandbox.cuda): ERROR: Not using GPU. Initialisation of device 1 failed:
Bad device number 1. Only 1 devices available.
Using gpu device 0: Tesla M2075 (CNMeM is disabled, cuDNN not available)
[2017-01-20 18:52:52,318] >> Training started
[2017-01-20 18:53:48,544] >> epoch 0/10000, average cost 80.811600
[2017-01-20 18:55:48,253] >> epoch 0/20000, average cost 42.317825
[2017-01-20 18:56:59,954] >> epoch 0/30000, average cost 31.971535
[2017-01-20 18:58:22,216] >> epoch 0/40000, average cost 26.689257
[2017-01-20 19:00:12,916] >> epoch 0/50000, average cost 22.667646
[2017-01-20 19:02:23,452] >> epoch 0/60000, average cost 20.467337
[2017-01-20 19:03:21,716] >> epoch 0/70000, average cost 18.604349
[2017-01-20 19:04:51,271] >> epoch 0/80000, average cost 17.784536
[2017-01-20 19:05:51,622] >> epoch 0/90000, average cost 17.172550
[2017-01-20 19:07:16,790] >> epoch 0/100000, average cost 16.703718
[2017-01-20 19:08:11,835] >> epoch 0/110000, average cost 16.477140
[2017-01-20 19:10:07,036] >> epoch 0/120000, average cost 16.375774
[2017-01-20 19:11:13,372] >> epoch 0/130000, average cost 16.333921
[2017-01-20 19:12:40,448] >> epoch 0/140000, average cost 16.210478
[2017-01-20 19:14:04,352] >> epoch 0/150000, average cost 16.105003
[2017-01-20 19:15:17,579] >> epoch 0/160000, average cost 16.034744
[2017-01-20 19:16:48,477] >> epoch 0/170000, average cost 15.950555
[2017-01-20 19:18:08,533] >> epoch 0/180000, average cost 15.892394
[2017-01-20 19:19:47,857] >> epoch 0/190000, average cost 15.794090
[2017-01-20 19:20:47,027] >> epoch 0/200000, average cost 15.770099
[2017-01-20 19:22:12,694] >> epoch 0/210000, average cost 15.682833
[2017-01-20 19:23:20,895] >> epoch 0/220000, average cost 15.640247
[2017-01-20 19:25:17,859] >> epoch 0/230000, average cost 15.590811
[2017-01-20 19:26:12,864] >> epoch 0/240000, average cost 15.510094
[2017-01-20 19:28:08,351] >> epoch 0/250000, average cost 15.464820
[2017-01-20 19:29:26,465] >> epoch 0/260000, average cost 15.373431
[2017-01-20 19:31:04,628] >> epoch 0/270000, average cost 15.342741
[2017-01-20 19:32:09,509] >> epoch 0/280000, average cost 15.345675
[2017-01-20 19:33:46,645] >> epoch 0/290000, average cost 15.297622
[2017-01-20 19:35:04,075] >> epoch 0/300000, average cost 15.220964
[2017-01-20 19:36:10,077] >> epoch 0/310000, average cost 15.180547
[2017-01-20 19:37:38,051] >> epoch 0/320000, average cost 15.201706
[2017-01-20 19:38:52,223] >> epoch 0/330000, average cost 15.078115
[2017-01-20 19:40:03,189] >> epoch 0/340000, average cost 15.067720
[2017-01-20 19:41:02,336] >> epoch 0/350000, average cost 15.068575
[2017-01-20 19:43:25,419] >> epoch 0/360000, average cost 14.997445
[2017-01-20 19:44:50,958] >> epoch 0/370000, average cost 14.929489
[2017-01-20 19:46:51,518] >> epoch 0/380000, average cost 14.938975
[2017-01-20 19:47:46,033] >> epoch 0/390000, average cost 14.949637
[2017-01-20 19:48:10,037] >> epoch 1/392804, average cost 19.098347
[2017-01-20 19:50:58,196] >> epoch 1/410000, average cost 14.849156
[2017-01-20 19:52:30,413] >> epoch 1/420000, average cost 14.834003
[2017-01-20 19:54:04,042] >> epoch 1/430000, average cost 14.773936
[2017-01-20 19:55:20,421] >> epoch 1/440000, average cost 14.781356
[2017-01-20 19:56:31,035] >> epoch 1/450000, average cost 14.765081
[2017-01-20 19:58:12,291] >> epoch 1/460000, average cost 14.760297
[2017-01-20 19:59:14,581] >> epoch 1/470000, average cost 14.750081
[2017-01-20 20:01:11,334] >> epoch 1/480000, average cost 14.760053
[2017-01-20 20:02:03,939] >> epoch 1/490000, average cost 14.735686
[2017-01-20 20:03:52,813] >> epoch 1/500000, average cost 14.641538
[2017-01-20 20:04:47,767] >> epoch 1/510000, average cost 14.614065
[2017-01-20 20:06:48,800] >> epoch 1/520000, average cost 14.653500
[2017-01-20 20:08:30,452] >> epoch 1/530000, average cost 14.624790
[2017-01-20 20:09:34,703] >> epoch 1/540000, average cost 14.575794
[2017-01-20 20:11:30,498] >> epoch 1/550000, average cost 14.560286
[2017-01-20 20:12:34,427] >> epoch 1/560000, average cost 14.560650
[2017-01-20 20:14:30,300] >> epoch 1/570000, average cost 14.538586
[2017-01-20 20:15:49,374] >> epoch 1/580000, average cost 14.507111
[2017-01-20 20:17:19,777] >> epoch 1/590000, average cost 14.529764
[2017-01-20 20:18:30,308] >> epoch 1/600000, average cost 14.486175
[2017-01-20 20:19:55,173] >> epoch 1/610000, average cost 14.497219
[2017-01-20 20:21:14,441] >> epoch 1/620000, average cost 14.490611
[2017-01-20 20:22:27,226] >> epoch 1/630000, average cost 14.431467
[2017-01-20 20:23:26,850] >> epoch 1/640000, average cost 14.449118
[2017-01-20 20:24:29,020] >> epoch 1/650000, average cost 14.389628
[2017-01-20 20:25:38,110] >> epoch 1/660000, average cost 14.365122
[2017-01-20 20:26:38,051] >> epoch 1/670000, average cost 14.405839
[2017-01-20 20:27:56,775] >> epoch 1/680000, average cost 14.396379
[2017-01-20 20:29:10,014] >> epoch 1/690000, average cost 14.371062
[2017-01-20 20:30:30,371] >> epoch 1/700000, average cost 14.327719
[2017-01-20 20:31:38,245] >> epoch 1/710000, average cost 14.374484
[2017-01-20 20:32:58,989] >> epoch 1/720000, average cost 14.322138
[2017-01-20 20:33:59,607] >> epoch 1/730000, average cost 14.288776
[2017-01-20 20:35:23,859] >> epoch 1/740000, average cost 14.324750
[2017-01-20 20:36:27,291] >> epoch 1/750000, average cost 14.291216
[2017-01-20 20:37:56,250] >> epoch 1/760000, average cost 14.221388
[2017-01-20 20:39:18,244] >> epoch 1/770000, average cost 14.252711
[2017-01-20 20:41:27,622] >> epoch 1/780000, average cost 14.253057
[2017-01-20 20:41:50,808] >> epoch 2/785608, average cost 14.522466
[2017-01-20 20:45:45,792] >> epoch 2/800000, average cost 14.211740
[2017-01-20 20:47:36,246] >> epoch 2/810000, average cost 14.206120
[2017-01-20 20:50:26,380] >> epoch 2/820000, average cost 14.172783
[2017-01-20 20:51:58,885] >> epoch 2/830000, average cost 14.168681
[2017-01-20 20:54:11,772] >> epoch 2/840000, average cost 14.178322
[2017-01-20 20:56:01,180] >> epoch 2/850000, average cost 14.173162
[2017-01-20 20:57:45,737] >> epoch 2/860000, average cost 14.158827
[2017-01-20 20:59:33,140] >> epoch 2/870000, average cost 14.199777
[2017-01-20 21:01:16,712] >> epoch 2/880000, average cost 14.174425
[2017-01-20 21:03:15,334] >> epoch 2/890000, average cost 14.123887
[2017-01-20 21:04:10,882] >> epoch 2/900000, average cost 14.084269
[2017-01-20 21:06:28,222] >> epoch 2/910000, average cost 14.099715
[2017-01-20 21:07:47,953] >> epoch 2/920000, average cost 14.114223
[2017-01-20 21:09:41,077] >> epoch 2/930000, average cost 14.063622
[2017-01-20 21:10:39,158] >> epoch 2/940000, average cost 14.049197
[2017-01-20 21:12:48,031] >> epoch 2/950000, average cost 14.066200
[2017-01-20 21:14:05,045] >> epoch 2/960000, average cost 14.031837
[2017-01-20 21:15:35,729] >> epoch 2/970000, average cost 14.027593
[2017-01-20 21:16:51,409] >> epoch 2/980000, average cost 14.024598
[2017-01-20 21:18:39,925] >> epoch 2/990000, average cost 14.013156
[2017-01-20 21:19:42,214] >> epoch 2/1000000, average cost 14.009311
[2017-01-20 21:21:56,375] >> epoch 2/1010000, average cost 14.006628
[2017-01-20 21:23:24,396] >> epoch 2/1020000, average cost 13.965014
[2017-01-20 21:25:29,212] >> epoch 2/1030000, average cost 13.999692
[2017-01-20 21:27:08,895] >> epoch 2/1040000, average cost 13.944550
[2017-01-20 21:28:34,789] >> epoch 2/1050000, average cost 13.909277
[2017-01-20 21:30:53,572] >> epoch 2/1060000, average cost 13.935834
[2017-01-20 21:32:15,660] >> epoch 2/1070000, average cost 13.959384
[2017-01-20 21:33:37,448] >> epoch 2/1080000, average cost 13.938915
[2017-01-20 21:34:53,140] >> epoch 2/1090000, average cost 13.887128
[2017-01-20 21:36:14,595] >> epoch 2/1100000, average cost 13.914790
[2017-01-20 21:37:36,325] >> epoch 2/1110000, average cost 13.923187
[2017-01-20 21:39:38,034] >> epoch 2/1120000, average cost 13.854023
[2017-01-20 21:40:44,752] >> epoch 2/1130000, average cost 13.897116
[2017-01-20 21:41:51,742] >> epoch 2/1140000, average cost 13.882940
[2017-01-20 21:42:44,487] >> epoch 2/1150000, average cost 13.810187
[2017-01-20 21:44:21,871] >> epoch 2/1160000, average cost 13.827099
[2017-01-20 21:46:25,299] >> epoch 2/1170000, average cost 13.821622
[2017-01-20 21:46:58,925] >> epoch 3/1178412, average cost 14.020756
[2017-01-20 21:49:08,865] >> epoch 3/1190000, average cost 13.795265
[2017-01-20 21:52:01,883] >> epoch 3/1200000, average cost 13.798561
[2017-01-20 21:53:11,130] >> epoch 3/1210000, average cost 13.786573
[2017-01-20 21:56:08,432] >> epoch 3/1220000, average cost 13.760113
[2017-01-20 21:58:01,233] >> epoch 3/1230000, average cost 13.781833
[2017-01-20 22:00:06,713] >> epoch 3/1240000, average cost 13.768900
[2017-01-20 22:01:18,850] >> epoch 3/1250000, average cost 13.752408
[2017-01-20 22:02:33,530] >> epoch 3/1260000, average cost 13.811991
[2017-01-20 22:03:57,007] >> epoch 3/1270000, average cost 13.782518
[2017-01-20 22:05:04,748] >> epoch 3/1280000, average cost 13.760822
[2017-01-20 22:06:27,802] >> epoch 3/1290000, average cost 13.696352
[2017-01-20 22:07:43,905] >> epoch 3/1300000, average cost 13.702577
[2017-01-20 22:08:59,901] >> epoch 3/1310000, average cost 13.733846
[2017-01-20 22:10:19,264] >> epoch 3/1320000, average cost 13.686144
[2017-01-20 22:11:54,363] >> epoch 3/1330000, average cost 13.671653
[2017-01-20 22:12:59,309] >> epoch 3/1340000, average cost 13.680170
[2017-01-20 22:15:08,200] >> epoch 3/1350000, average cost 13.653539
[2017-01-20 22:16:29,187] >> epoch 3/1360000, average cost 13.659202
[2017-01-20 22:18:24,461] >> epoch 3/1370000, average cost 13.634362
[2017-01-20 22:20:00,240] >> epoch 3/1380000, average cost 13.650100
[2017-01-20 22:21:55,271] >> epoch 3/1390000, average cost 13.624522
[2017-01-20 22:23:41,956] >> epoch 3/1400000, average cost 13.625244
[2017-01-20 22:25:15,775] >> epoch 3/1410000, average cost 13.619156
[2017-01-20 22:27:26,315] >> epoch 3/1420000, average cost 13.608171
[2017-01-20 22:28:37,523] >> epoch 3/1430000, average cost 13.577824
[2017-01-20 22:30:25,173] >> epoch 3/1440000, average cost 13.540534
[2017-01-20 22:31:37,000] >> epoch 3/1450000, average cost 13.547484
[2017-01-20 22:33:06,155] >> epoch 3/1460000, average cost 13.585671
[2017-01-20 22:34:23,185] >> epoch 3/1470000, average cost 13.567122
[2017-01-20 22:35:39,561] >> epoch 3/1480000, average cost 13.517884
[2017-01-20 22:36:53,577] >> epoch 3/1490000, average cost 13.520077
[2017-01-20 22:38:27,234] >> epoch 3/1500000, average cost 13.564294
[2017-01-20 22:39:43,467] >> epoch 3/1510000, average cost 13.476739
[2017-01-20 22:41:30,447] >> epoch 3/1520000, average cost 13.510792
[2017-01-20 22:42:42,730] >> epoch 3/1530000, average cost 13.516200
[2017-01-20 22:43:40,634] >> epoch 3/1540000, average cost 13.455447
[2017-01-20 22:45:13,637] >> epoch 3/1550000, average cost 13.436391
[2017-01-20 22:46:18,272] >> epoch 3/1560000, average cost 13.455806
[2017-01-20 22:47:44,259] >> epoch 3/1570000, average cost 13.495022
[2017-01-20 22:47:48,634] >> epoch 4/1571216, average cost 13.636214
[2017-01-20 22:51:51,903] >> epoch 4/1590000, average cost 13.424388
[2017-01-20 22:54:23,040] >> epoch 4/1600000, average cost 13.431359
[2017-01-20 22:56:21,427] >> epoch 4/1610000, average cost 13.385069
[2017-01-20 22:58:39,964] >> epoch 4/1620000, average cost 13.416961
[2017-01-20 23:00:28,486] >> epoch 4/1630000, average cost 13.400586
[2017-01-20 23:01:38,845] >> epoch 4/1640000, average cost 13.405790
[2017-01-20 23:03:24,285] >> epoch 4/1650000, average cost 13.430983
[2017-01-20 23:04:44,875] >> epoch 4/1660000, average cost 13.426653
[2017-01-20 23:06:06,126] >> epoch 4/1670000, average cost 13.423316
[2017-01-20 23:07:31,621] >> epoch 4/1680000, average cost 13.343043
[2017-01-20 23:09:36,360] >> epoch 4/1690000, average cost 13.335867
[2017-01-20 23:10:50,078] >> epoch 4/1700000, average cost 13.383731
[2017-01-20 23:12:37,556] >> epoch 4/1710000, average cost 13.349458
[2017-01-20 23:13:52,801] >> epoch 4/1720000, average cost 13.321394
[2017-01-20 23:15:26,289] >> epoch 4/1730000, average cost 13.321681
[2017-01-20 23:16:35,877] >> epoch 4/1740000, average cost 13.320770
[2017-01-20 23:18:15,775] >> epoch 4/1750000, average cost 13.322483
[2017-01-20 23:19:20,790] >> epoch 4/1760000, average cost 13.287362
[2017-01-20 23:21:31,189] >> epoch 4/1770000, average cost 13.328766
[2017-01-20 23:22:57,149] >> epoch 4/1780000, average cost 13.289275
[2017-01-20 23:23:56,202] >> epoch 4/1790000, average cost 13.300287
[2017-01-20 23:25:22,892] >> epoch 4/1800000, average cost 13.302127
