[2017-03-17 12:47:22,295] >> Loading model
[2017-03-17 12:47:22,575] >> Loading datasets
[2017-03-17 12:47:22,577] >> Reconstruction training started with arguments:
{'activation_noise': None,
 'adadelta': False,
 'adadelta_epsilon': '1e-6',
 'adadelta_rho': '0.95',
 'adagrad': False,
 'adagrad_decay': False,
 'batch_size': 128,
 'ce_sparsity': 0.01,
 'ce_sparsity_weight': 0.0,
 'compound': False,
 'corruption_level': 0.2,
 'datasets': (DatasetContainer [PFileStreamDataset@/export/data1/data/ddraper/train.ld.pfile],
              DatasetContainer [],
              DatasetContainer []),
 'epochs': 50,
 'fix_layers': [],
 'graph': False,
 'hooks': [],
 'l1_reg': '0.0',
 'l2_reg': '0.0',
 'layer_args': {},
 'layers': [1],
 'learning_rate': '0.01',
 'loss': u'mse',
 'minibatches': 2000000,
 'momentum': '',
 'noise': 'mask',
 'sparsity': 0.05,
 'sparsity_weight': 0.0,
 'validate': False,
 'verbosity': 1,
 'warn': False}
[2017-03-17 12:47:22,577] >> Reconstruction training started with da:
{'hidden_activation': u'sigmoid',
 u'loss': u'mse',
 'n_hidden': 1000,
 'n_visible': 966,
 'tied_weights': True,
 'visible_activation': u'tanh'}
[2017-03-17 12:47:22,578] >> Compiling theano graph
Using gpu device 0: Tesla M2075 (CNMeM is disabled, cuDNN not available)
[2017-03-17 12:47:31,682] >> Training started
[2017-03-17 12:48:17,577] >> epoch 0/10000, average cost 83.640373
[2017-03-17 12:49:03,450] >> epoch 0/20000, average cost 41.935867
[2017-03-17 12:49:46,055] >> epoch 0/30000, average cost 33.486591
[2017-03-17 12:50:33,073] >> epoch 0/40000, average cost 28.081850
[2017-03-17 12:51:14,700] >> epoch 0/50000, average cost 24.860460
[2017-03-17 12:52:01,741] >> epoch 0/60000, average cost 23.611847
[2017-03-17 12:52:45,606] >> epoch 0/70000, average cost 22.115519
[2017-03-17 12:53:30,719] >> epoch 0/80000, average cost 21.447590
[2017-03-17 12:54:06,118] >> epoch 1/88125, average cost 33.602669
[2017-03-17 12:55:01,119] >> epoch 1/100000, average cost 18.965553
[2017-03-17 12:55:49,667] >> epoch 1/110000, average cost 18.467007
[2017-03-17 12:56:33,332] >> epoch 1/120000, average cost 17.311144
[2017-03-17 12:57:19,335] >> epoch 1/130000, average cost 15.981803
[2017-03-17 12:58:07,534] >> epoch 1/140000, average cost 15.073206
[2017-03-17 12:58:50,505] >> epoch 1/150000, average cost 14.999726
[2017-03-17 12:59:37,481] >> epoch 1/160000, average cost 14.928312
[2017-03-17 13:00:18,480] >> epoch 1/170000, average cost 14.877147
[2017-03-17 13:00:46,741] >> epoch 2/176250, average cost 16.299383
[2017-03-17 13:01:54,642] >> epoch 2/190000, average cost 14.708808
