[2017-03-21 13:10:49,520] >> Loading model
[2017-03-21 13:10:50,100] >> Loading datasets
[2017-03-21 13:10:50,102] >> Reconstruction training started with arguments:
{'activation_noise': None,
 'adadelta': False,
 'adadelta_epsilon': '1e-6',
 'adadelta_rho': '0.95',
 'adagrad': False,
 'adagrad_decay': False,
 'batch_size': 128,
 'ce_sparsity': 0.01,
 'ce_sparsity_weight': 0.0,
 'compound': False,
 'corruption_level': 0.2,
 'datasets': (DatasetContainer [PFileStreamDataset@/export/data1/data/ddraper/train.ld.pfile],
              DatasetContainer [],
              DatasetContainer []),
 'epochs': 50,
 'fix_layers': [],
 'graph': False,
 'hooks': [],
 'l1_reg': '0.0',
 'l2_reg': '0.0',
 'layer_args': {},
 'layers': [1],
 'learning_rate': '0.01',
 'loss': u'mse',
 'minibatches': 2000000,
 'momentum': '',
 'noise': 'mask',
 'sparsity': 0.05,
 'sparsity_weight': 0.0,
 'validate': False,
 'verbosity': 1,
 'warn': False}
[2017-03-21 13:10:50,102] >> Reconstruction training started with da:
{'hidden_activation': u'sigmoid',
 u'loss': u'mse',
 'n_hidden': 800,
 'n_visible': 966,
 'tied_weights': True,
 'visible_activation': u'tanh'}
[2017-03-21 13:10:50,103] >> Compiling theano graph
Using gpu device 0: Tesla M2075 (CNMeM is disabled, cuDNN not available)
[2017-03-21 13:11:23,605] >> Training started
[2017-03-21 13:12:32,395] >> epoch 0/10000, average cost 83.155533
[2017-03-21 13:13:52,110] >> epoch 0/20000, average cost 42.666218
[2017-03-21 13:15:00,441] >> epoch 0/30000, average cost 33.236862
[2017-03-21 13:16:18,820] >> epoch 0/40000, average cost 28.635584
[2017-03-21 13:17:26,707] >> epoch 0/50000, average cost 26.689150
[2017-03-21 13:18:46,219] >> epoch 0/60000, average cost 24.891848
[2017-03-21 13:20:06,771] >> epoch 0/70000, average cost 23.348801
[2017-03-21 13:21:10,433] >> epoch 0/80000, average cost 22.717934
[2017-03-21 13:22:08,887] >> epoch 1/88125, average cost 34.197815
[2017-03-21 13:23:43,123] >> epoch 1/100000, average cost 18.641251
[2017-03-21 13:25:01,692] >> epoch 1/110000, average cost 17.881027
[2017-03-21 13:26:19,682] >> epoch 1/120000, average cost 17.193289
[2017-03-21 13:27:28,863] >> epoch 1/130000, average cost 16.784998
[2017-03-21 13:28:48,601] >> epoch 1/140000, average cost 15.937186
[2017-03-21 13:29:56,518] >> epoch 1/150000, average cost 15.682450
[2017-03-21 13:31:17,299] >> epoch 1/160000, average cost 15.154683
[2017-03-21 13:32:27,012] >> epoch 1/170000, average cost 14.772069
[2017-03-21 13:33:08,468] >> epoch 2/176250, average cost 16.429420
[2017-03-21 13:35:04,071] >> epoch 2/190000, average cost 14.584411
[2017-03-21 13:36:14,167] >> epoch 2/200000, average cost 14.585957
[2017-03-21 13:37:34,801] >> epoch 2/210000, average cost 14.467944
[2017-03-21 13:38:43,492] >> epoch 2/220000, average cost 14.415742
[2017-03-21 13:40:02,325] >> epoch 2/230000, average cost 14.362904
[2017-03-21 13:41:21,366] >> epoch 2/240000, average cost 14.290648
[2017-03-21 13:42:30,626] >> epoch 2/250000, average cost 14.281569
[2017-03-21 13:43:44,433] >> epoch 2/260000, average cost 14.230976
[2017-03-21 13:44:10,179] >> epoch 3/264375, average cost 14.400719
[2017-03-21 13:46:14,518] >> epoch 3/280000, average cost 14.130242
[2017-03-21 13:47:30,607] >> epoch 3/290000, average cost 14.119239
[2017-03-21 13:48:38,343] >> epoch 3/300000, average cost 14.049389
[2017-03-21 13:49:58,181] >> epoch 3/310000, average cost 13.999199
[2017-03-21 13:51:07,872] >> epoch 3/320000, average cost 13.998309
[2017-03-21 13:52:28,189] >> epoch 3/330000, average cost 13.926831
[2017-03-21 13:53:37,149] >> epoch 3/340000, average cost 13.959411
[2017-03-21 13:54:51,162] >> epoch 3/350000, average cost 13.911843
[2017-03-21 13:55:05,947] >> epoch 4/352500, average cost 14.014611
[2017-03-21 13:57:24,227] >> epoch 4/370000, average cost 13.870531
[2017-03-21 13:58:44,029] >> epoch 4/380000, average cost 13.845508
[2017-03-21 13:59:53,852] >> epoch 4/390000, average cost 13.819148
[2017-03-21 14:01:13,377] >> epoch 4/400000, average cost 13.758209
[2017-03-21 14:02:33,951] >> epoch 4/410000, average cost 13.784762
[2017-03-21 14:03:43,047] >> epoch 4/420000, average cost 13.711528
[2017-03-21 14:05:03,992] >> epoch 4/430000, average cost 13.761065
[2017-03-21 14:06:08,494] >> epoch 4/440000, average cost 13.708109
[2017-03-21 14:06:12,178] >> epoch 5/440625, average cost 13.786115
[2017-03-21 14:08:56,992] >> epoch 5/460000, average cost 13.704510
[2017-03-21 14:10:07,456] >> epoch 5/470000, average cost 13.651186
[2017-03-21 14:11:29,764] >> epoch 5/480000, average cost 13.650980
[2017-03-21 14:12:39,516] >> epoch 5/490000, average cost 13.596472
[2017-03-21 14:14:00,109] >> epoch 5/500000, average cost 13.611927
[2017-03-21 14:15:10,158] >> epoch 5/510000, average cost 13.556660
[2017-03-21 14:16:31,681] >> epoch 5/520000, average cost 13.606797
[2017-03-21 14:17:29,861] >> epoch 6/528750, average cost 13.621393
[2017-03-21 14:19:01,927] >> epoch 6/540000, average cost 13.502025
[2017-03-21 14:20:22,423] >> epoch 6/550000, average cost 13.567393
[2017-03-21 14:21:31,363] >> epoch 6/560000, average cost 13.500628
[2017-03-21 14:22:53,026] >> epoch 6/570000, average cost 13.512120
[2017-03-21 14:24:14,362] >> epoch 6/580000, average cost 13.464798
[2017-03-21 14:25:24,705] >> epoch 6/590000, average cost 13.469239
[2017-03-21 14:26:46,453] >> epoch 6/600000, average cost 13.442320
[2017-03-21 14:27:57,574] >> epoch 6/610000, average cost 13.467884
[2017-03-21 14:28:44,763] >> epoch 7/616875, average cost 13.486814
[2017-03-21 14:30:41,460] >> epoch 7/630000, average cost 13.384706
[2017-03-21 14:31:52,089] >> epoch 7/640000, average cost 13.445794
[2017-03-21 14:33:13,629] >> epoch 7/650000, average cost 13.379581
[2017-03-21 14:34:24,328] >> epoch 7/660000, average cost 13.380541
[2017-03-21 14:35:47,036] >> epoch 7/670000, average cost 13.364270
[2017-03-21 14:36:58,696] >> epoch 7/680000, average cost 13.333725
[2017-03-21 14:38:21,129] >> epoch 7/690000, average cost 13.346993
[2017-03-21 14:39:38,020] >> epoch 7/700000, average cost 13.342497
[2017-03-21 14:40:07,553] >> epoch 8/705000, average cost 13.370079
[2017-03-21 14:42:14,484] >> epoch 8/720000, average cost 13.300456
[2017-03-21 14:43:24,635] >> epoch 8/730000, average cost 13.331985
