[2017-03-12 17:38:01,765] >> Loading model
[2017-03-12 17:38:02,209] >> Loading datasets
[2017-03-12 17:38:02,213] >> Reconstruction training started with arguments:
{'activation_noise': None,
 'adadelta': False,
 'adadelta_epsilon': '1e-6',
 'adadelta_rho': '0.95',
 'adagrad': False,
 'adagrad_decay': False,
 'batch_size': 128,
 'ce_sparsity': 0.01,
 'ce_sparsity_weight': 0.0,
 'compound': False,
 'corruption_level': 0.2,
 'datasets': (DatasetContainer [PFileStreamDataset@/export/data1/data/ddraper/train.ld.pfile],
              DatasetContainer [],
              DatasetContainer []),
 'epochs': 50,
 'fix_layers': [],
 'graph': False,
 'hooks': [],
 'l1_reg': '0.0',
 'l2_reg': '0.0',
 'layer_args': {},
 'layers': [1],
 'learning_rate': '0.01',
 'loss': u'mse',
 'minibatches': 2000000,
 'momentum': '',
 'noise': 'mask',
 'sparsity': 0.05,
 'sparsity_weight': 0.0,
 'validate': False,
 'verbosity': 1,
 'warn': False}
[2017-03-12 17:38:02,213] >> Reconstruction training started with da:
{'hidden_activation': u'sigmoid',
 u'loss': u'mse',
 'n_hidden': 1200,
 'n_visible': 966,
 'tied_weights': True,
 'visible_activation': u'tanh'}
[2017-03-12 17:38:02,213] >> Compiling theano graph
Using gpu device 0: Tesla M2075 (CNMeM is disabled, cuDNN not available)
[2017-03-12 17:38:28,587] >> Training started
[2017-03-12 17:39:37,114] >> epoch 0/10000, average cost 83.532310
[2017-03-12 17:40:44,008] >> epoch 0/20000, average cost 39.977642
[2017-03-12 17:41:51,114] >> epoch 0/30000, average cost 29.335228
[2017-03-12 17:42:58,246] >> epoch 0/40000, average cost 24.898010
[2017-03-12 17:44:06,379] >> epoch 0/50000, average cost 23.091236
[2017-03-12 17:45:13,770] >> epoch 0/60000, average cost 21.811018
[2017-03-12 17:46:21,544] >> epoch 0/70000, average cost 20.941351
[2017-03-12 17:47:30,088] >> epoch 0/80000, average cost 20.543097
[2017-03-12 17:48:20,001] >> epoch 1/88125, average cost 31.795498
[2017-03-12 17:49:44,944] >> epoch 1/100000, average cost 18.274021
[2017-03-12 17:50:52,115] >> epoch 1/110000, average cost 17.176546
[2017-03-12 17:51:59,314] >> epoch 1/120000, average cost 15.480069
[2017-03-12 17:53:09,231] >> epoch 1/130000, average cost 15.073215
[2017-03-12 17:54:16,802] >> epoch 1/140000, average cost 14.573133
[2017-03-12 17:55:24,536] >> epoch 1/150000, average cost 14.279661
[2017-03-12 17:56:33,732] >> epoch 1/160000, average cost 14.206492
[2017-03-12 17:57:37,157] >> epoch 1/170000, average cost 14.159173
[2017-03-12 17:58:19,130] >> epoch 2/176250, average cost 15.388819
[2017-03-12 17:59:58,578] >> epoch 2/190000, average cost 13.982870
[2017-03-12 18:01:07,630] >> epoch 2/200000, average cost 13.990444
[2017-03-12 18:02:17,122] >> epoch 2/210000, average cost 13.879033
[2017-03-12 18:03:24,652] >> epoch 2/220000, average cost 13.835200
[2017-03-12 18:04:33,420] >> epoch 2/230000, average cost 13.797523
