[2017-03-16 17:51:58,019] >> Loading model
[2017-03-16 17:51:58,473] >> Loading datasets
[2017-03-16 17:51:58,476] >> Reconstruction training started with arguments:
{'activation_noise': None,
 'adadelta': False,
 'adadelta_epsilon': '1e-6',
 'adadelta_rho': '0.95',
 'adagrad': False,
 'adagrad_decay': False,
 'batch_size': 128,
 'ce_sparsity': 0.01,
 'ce_sparsity_weight': 0.0,
 'compound': False,
 'corruption_level': 0.2,
 'datasets': (DatasetContainer [PFileStreamDataset@/export/data1/data/ddraper/train.ld.pfile],
              DatasetContainer [],
              DatasetContainer []),
 'epochs': 50,
 'fix_layers': [],
 'graph': False,
 'hooks': [],
 'l1_reg': '0.0',
 'l2_reg': '0.0',
 'layer_args': {},
 'layers': [1],
 'learning_rate': '0.01',
 'loss': u'mse',
 'minibatches': 2000000,
 'momentum': '',
 'noise': 'mask',
 'sparsity': 0.05,
 'sparsity_weight': 0.0,
 'validate': False,
 'verbosity': 1,
 'warn': False}
[2017-03-16 17:51:58,476] >> Reconstruction training started with da:
{'hidden_activation': u'sigmoid',
 u'loss': u'mse',
 'n_hidden': 1200,
 'n_visible': 966,
 'tied_weights': True,
 'visible_activation': u'tanh'}
[2017-03-16 17:51:58,476] >> Compiling theano graph
Using gpu device 0: Tesla M2075 (CNMeM is disabled, cuDNN not available)
[2017-03-16 17:52:09,009] >> Training started
[2017-03-16 17:52:56,817] >> epoch 0/10000, average cost 102.139114
[2017-03-16 17:53:45,724] >> epoch 0/20000, average cost 41.060814
[2017-03-16 17:54:30,172] >> epoch 0/30000, average cost 29.718946
[2017-03-16 17:55:19,492] >> epoch 0/40000, average cost 24.971193
[2017-03-16 17:56:03,497] >> epoch 0/50000, average cost 22.517504
[2017-03-16 17:56:52,714] >> epoch 0/60000, average cost 21.433119
[2017-03-16 17:57:38,204] >> epoch 0/70000, average cost 19.399393
[2017-03-16 17:58:25,133] >> epoch 0/80000, average cost 18.145445
[2017-03-16 17:59:01,727] >> epoch 1/88125, average cost 33.328815
[2017-03-16 17:59:58,034] >> epoch 1/100000, average cost 17.445169
[2017-03-16 18:00:47,046] >> epoch 1/110000, average cost 16.973352
[2017-03-16 18:01:32,666] >> epoch 1/120000, average cost 16.336964
[2017-03-16 18:02:19,840] >> epoch 1/130000, average cost 15.428963
[2017-03-16 18:03:08,284] >> epoch 1/140000, average cost 15.243940
[2017-03-16 18:03:52,950] >> epoch 1/150000, average cost 15.170403
[2017-03-16 18:04:42,382] >> epoch 1/160000, average cost 15.089819
[2017-03-16 18:05:26,469] >> epoch 1/170000, average cost 15.034713
[2017-03-16 18:05:56,661] >> epoch 2/176250, average cost 15.814032
[2017-03-16 18:07:08,230] >> epoch 2/190000, average cost 14.702991
[2017-03-16 18:07:52,611] >> epoch 2/200000, average cost 14.403500
[2017-03-16 18:08:43,049] >> epoch 2/210000, average cost 13.870413
[2017-03-16 18:09:28,181] >> epoch 2/220000, average cost 13.799759
[2017-03-16 18:10:19,670] >> epoch 2/230000, average cost 13.754764
[2017-03-16 18:11:07,579] >> epoch 2/240000, average cost 13.687126
[2017-03-16 18:11:55,669] >> epoch 2/250000, average cost 13.682451
[2017-03-16 18:12:44,908] >> epoch 2/260000, average cost 13.649255
[2017-03-16 18:13:02,459] >> epoch 3/264375, average cost 13.966732
[2017-03-16 18:14:21,048] >> epoch 3/280000, average cost 13.559759
[2017-03-16 18:15:09,456] >> epoch 3/290000, average cost 13.560333
[2017-03-16 18:15:56,469] >> epoch 3/300000, average cost 13.492273
[2017-03-16 18:16:46,818] >> epoch 3/310000, average cost 13.447669
[2017-03-16 18:17:32,066] >> epoch 3/320000, average cost 13.444963
[2017-03-16 18:18:23,179] >> epoch 3/330000, average cost 13.372452
[2017-03-16 18:19:08,168] >> epoch 3/340000, average cost 13.402087
[2017-03-16 18:19:58,114] >> epoch 3/350000, average cost 13.358055
[2017-03-16 18:20:07,835] >> epoch 4/352500, average cost 13.456709
