[2016-11-10 17:23:19,763] >> Loading model
[2016-11-10 17:23:20,326] >> Loading datasets
[2016-11-10 17:23:20,355] >> Reconstruction training started with arguments:
{'activation_noise': None,
 'adadelta': False,
 'adadelta_epsilon': '1e-6',
 'adadelta_rho': '0.95',
 'adagrad': False,
 'adagrad_decay': False,
 'batch_size': 128,
 'ce_sparsity': 0.01,
 'ce_sparsity_weight': 0.0,
 'compound': False,
 'corruption_level': 0.2,
 'datasets': (DatasetContainer [PFileStreamDataset@/home/ddraper/train.pfile],
              DatasetContainer [],
              DatasetContainer []),
 'epochs': 50,
 'fix_layers': [],
 'graph': False,
 'hooks': [],
 'l1_reg': '0.0',
 'l2_reg': '0.0',
 'layer_args': {},
 'layers': [1],
 'learning_rate': '0.01',
 'loss': u'mse',
 'minibatches': 2000000,
 'momentum': '',
 'noise': 'mask',
 'sparsity': 0.05,
 'sparsity_weight': 0.0,
 'validate': False,
 'verbosity': 1,
 'warn': False}
[2016-11-10 17:23:20,355] >> Reconstruction training started with da:
{'hidden_activation': u'sigmoid',
 u'loss': u'mse',
 'n_hidden': 1000,
 'n_visible': 966,
 'tied_weights': True,
 'visible_activation': u'tanh'}
[2016-11-10 17:23:20,356] >> Compiling theano graph
Using gpu device 0: Tesla M2075 (CNMeM is disabled, cuDNN not available)
[2016-11-10 17:24:00,382] >> Training started
[2016-11-10 17:25:05,374] >> epoch 0/10000, average cost 88.244225
[2016-11-10 17:26:57,259] >> epoch 0/20000, average cost 44.905548
[2016-11-10 17:28:08,912] >> epoch 0/30000, average cost 31.671890
[2016-11-10 17:30:05,048] >> epoch 0/40000, average cost 26.598619
[2016-11-10 17:31:21,060] >> epoch 0/50000, average cost 23.529707
[2016-11-10 17:33:18,233] >> epoch 0/60000, average cost 21.945030
[2016-11-10 17:34:41,050] >> epoch 0/70000, average cost 20.693272
[2016-11-10 17:36:24,783] >> epoch 0/80000, average cost 20.131113
[2016-11-10 17:37:45,655] >> epoch 0/90000, average cost 18.735592
[2016-11-10 17:39:35,262] >> epoch 0/100000, average cost 17.676756
[2016-11-10 17:40:55,485] >> epoch 0/110000, average cost 16.903240
[2016-11-10 17:43:02,962] >> epoch 0/120000, average cost 16.444876
[2016-11-10 17:44:25,583] >> epoch 0/130000, average cost 16.003967
[2016-11-10 17:46:18,763] >> epoch 0/140000, average cost 15.926734
[2016-11-10 17:48:44,553] >> epoch 0/150000, average cost 15.860914
[2016-11-10 17:50:34,730] >> epoch 0/160000, average cost 15.761356
[2016-11-10 17:53:18,558] >> epoch 0/170000, average cost 15.698255
[2016-11-10 17:55:02,363] >> epoch 0/180000, average cost 15.587391
[2016-11-10 17:57:22,828] >> epoch 0/190000, average cost 15.579552
[2016-11-10 17:58:36,782] >> epoch 0/200000, average cost 15.516725
[2016-11-10 18:00:53,867] >> epoch 0/210000, average cost 15.360700
[2016-11-10 18:02:38,593] >> epoch 0/220000, average cost 15.356776
[2016-11-10 18:05:14,813] >> epoch 0/230000, average cost 15.306682
[2016-11-10 18:06:42,470] >> epoch 0/240000, average cost 15.276555
[2016-11-10 18:08:12,586] >> epoch 0/250000, average cost 15.180412
[2016-11-10 18:09:25,027] >> epoch 0/260000, average cost 15.161950
[2016-11-10 18:11:21,677] >> epoch 0/270000, average cost 15.128339
[2016-11-10 18:12:39,328] >> epoch 0/280000, average cost 15.088515
[2016-11-10 18:14:05,982] >> epoch 0/290000, average cost 15.030044
[2016-11-10 18:15:33,719] >> epoch 0/300000, average cost 15.004897
[2016-11-10 18:16:49,982] >> epoch 0/310000, average cost 15.004503
[2016-11-10 18:18:17,849] >> epoch 0/320000, average cost 14.923821
[2016-11-10 18:19:23,735] >> epoch 0/330000, average cost 14.916475
[2016-11-10 18:19:40,038] >> epoch 1/333330, average cost 20.253796
[2016-11-10 18:22:24,695] >> epoch 1/350000, average cost 14.841880
[2016-11-10 18:24:06,867] >> epoch 1/360000, average cost 14.854761
[2016-11-10 18:25:28,105] >> epoch 1/370000, average cost 14.760238
[2016-11-10 18:27:13,463] >> epoch 1/380000, average cost 14.744061
[2016-11-10 18:28:28,249] >> epoch 1/390000, average cost 14.761589
[2016-11-10 18:30:28,235] >> epoch 1/400000, average cost 14.678794
[2016-11-10 18:31:41,469] >> epoch 1/410000, average cost 14.679869
[2016-11-10 18:33:32,545] >> epoch 1/420000, average cost 14.690773
[2016-11-10 18:34:53,216] >> epoch 1/430000, average cost 14.673547
[2016-11-10 18:36:39,120] >> epoch 1/440000, average cost 14.622494
[2016-11-10 18:37:57,814] >> epoch 1/450000, average cost 14.584809
[2016-11-10 18:40:33,049] >> epoch 1/460000, average cost 14.526519
[2016-11-10 18:42:21,442] >> epoch 1/470000, average cost 14.563077
[2016-11-10 18:44:37,984] >> epoch 1/480000, average cost 14.549276
[2016-11-10 18:46:32,788] >> epoch 1/490000, average cost 14.507913
[2016-11-10 18:47:47,948] >> epoch 1/500000, average cost 14.517641
[2016-11-10 18:49:50,645] >> epoch 1/510000, average cost 14.452244
[2016-11-10 18:51:08,935] >> epoch 1/520000, average cost 14.478950
[2016-11-10 18:53:01,047] >> epoch 1/530000, average cost 14.473472
[2016-11-10 18:54:18,906] >> epoch 1/540000, average cost 14.391548
[2016-11-10 18:56:14,302] >> epoch 1/550000, average cost 14.379137
[2016-11-10 18:57:26,850] >> epoch 1/560000, average cost 14.362183
[2016-11-10 18:59:22,424] >> epoch 1/570000, average cost 14.391837
[2016-11-10 19:00:35,571] >> epoch 1/580000, average cost 14.297616
[2016-11-10 19:02:09,594] >> epoch 1/590000, average cost 14.323749
[2016-11-10 19:04:04,390] >> epoch 1/600000, average cost 14.312956
[2016-11-10 19:06:22,026] >> epoch 1/610000, average cost 14.269198
[2016-11-10 19:08:39,266] >> epoch 1/620000, average cost 14.282297
[2016-11-10 19:10:20,713] >> epoch 1/630000, average cost 14.231544
[2016-11-10 19:12:38,536] >> epoch 1/640000, average cost 14.279541
[2016-11-10 19:14:20,051] >> epoch 1/650000, average cost 14.241611
[2016-11-10 19:16:37,612] >> epoch 1/660000, average cost 14.219753
[2016-11-10 19:17:06,208] >> epoch 2/666660, average cost 14.500196
[2016-11-10 19:19:18,376] >> epoch 2/680000, average cost 14.169636
[2016-11-10 19:20:20,924] >> epoch 2/690000, average cost 14.237462
[2016-11-10 19:21:59,732] >> epoch 2/700000, average cost 14.169526
[2016-11-10 19:23:05,123] >> epoch 2/710000, average cost 14.145863
[2016-11-10 19:24:42,389] >> epoch 2/720000, average cost 14.181046
[2016-11-10 19:25:48,773] >> epoch 2/730000, average cost 14.135813
[2016-11-10 19:27:27,683] >> epoch 2/740000, average cost 14.120033
[2016-11-10 19:28:31,567] >> epoch 2/750000, average cost 14.148616
[2016-11-10 19:30:12,772] >> epoch 2/760000, average cost 14.144287
[2016-11-10 19:31:16,070] >> epoch 2/770000, average cost 14.137183
[2016-11-10 19:32:57,075] >> epoch 2/780000, average cost 14.083722
[2016-11-10 19:34:06,313] >> epoch 2/790000, average cost 14.035089
[2016-11-10 19:35:50,712] >> epoch 2/800000, average cost 14.097935
[2016-11-10 19:37:30,638] >> epoch 2/810000, average cost 14.079498
[2016-11-10 19:38:38,535] >> epoch 2/820000, average cost 14.060997
[2016-11-10 19:40:19,611] >> epoch 2/830000, average cost 14.064184
[2016-11-10 19:41:30,087] >> epoch 2/840000, average cost 14.029226
[2016-11-10 19:43:12,349] >> epoch 2/850000, average cost 14.020307
[2016-11-10 19:44:23,730] >> epoch 2/860000, average cost 14.056497
[2016-11-10 19:46:05,767] >> epoch 2/870000, average cost 14.018597
[2016-11-10 19:47:16,297] >> epoch 2/880000, average cost 13.945838
[2016-11-10 19:48:56,922] >> epoch 2/890000, average cost 13.974940
[2016-11-10 19:50:06,845] >> epoch 2/900000, average cost 13.991262
[2016-11-10 19:51:43,016] >> epoch 2/910000, average cost 13.926058
[2016-11-10 19:52:47,389] >> epoch 2/920000, average cost 13.936975
[2016-11-10 19:54:34,894] >> epoch 2/930000, average cost 13.929955
[2016-11-10 19:55:46,491] >> epoch 2/940000, average cost 13.897415
[2016-11-10 19:57:04,517] >> epoch 2/950000, average cost 13.936612
[2016-11-10 19:58:23,727] >> epoch 2/960000, average cost 13.868406
[2016-11-10 19:59:35,950] >> epoch 2/970000, average cost 13.924920
[2016-11-10 20:00:54,418] >> epoch 2/980000, average cost 13.914928
[2016-11-10 20:01:57,158] >> epoch 2/990000, average cost 13.867950
[2016-11-10 20:03:02,102] >> epoch 3/999990, average cost 14.036256
[2016-11-10 20:04:29,699] >> epoch 3/1010000, average cost 13.845667
[2016-11-10 20:06:05,633] >> epoch 3/1020000, average cost 13.881373
[2016-11-10 20:07:11,563] >> epoch 3/1030000, average cost 13.857801
[2016-11-10 20:08:51,575] >> epoch 3/1040000, average cost 13.819794
[2016-11-10 20:09:58,974] >> epoch 3/1050000, average cost 13.839931
[2016-11-10 20:11:35,858] >> epoch 3/1060000, average cost 13.840745
[2016-11-10 20:12:48,454] >> epoch 3/1070000, average cost 13.785797
[2016-11-10 20:14:17,807] >> epoch 3/1080000, average cost 13.819672
[2016-11-10 20:15:31,293] >> epoch 3/1090000, average cost 13.819825
