[2016-11-25 14:56:07,038] >> Loading model
[2016-11-25 14:56:09,098] >> Loading datasets
[2016-11-25 14:56:09,109] >> Reconstruction training started with arguments:
{'activation_noise': None,
 'adadelta': False,
 'adadelta_epsilon': '1e-6',
 'adadelta_rho': '0.95',
 'adagrad': False,
 'adagrad_decay': False,
 'batch_size': 128,
 'ce_sparsity': 0.01,
 'ce_sparsity_weight': 0.0,
 'compound': False,
 'corruption_level': 0.2,
 'datasets': (DatasetContainer [PFileStreamDataset@/export/data1/data/ddraper/train.5.pfile],
              DatasetContainer [],
              DatasetContainer []),
 'epochs': 50,
 'fix_layers': [],
 'graph': False,
 'hooks': [],
 'l1_reg': '0.0',
 'l2_reg': '0.0',
 'layer_args': {},
 'layers': [1],
 'learning_rate': '0.01',
 'loss': u'mse',
 'minibatches': 2000000,
 'momentum': '',
 'noise': 'mask',
 'sparsity': 0.05,
 'sparsity_weight': 0.0,
 'validate': False,
 'verbosity': 1,
 'warn': False}
[2016-11-25 14:56:09,110] >> Reconstruction training started with da:
{'hidden_activation': u'sigmoid',
 u'loss': u'mse',
 'n_hidden': 1000,
 'n_visible': 966,
 'tied_weights': True,
 'visible_activation': u'tanh'}
[2016-11-25 14:56:09,110] >> Compiling theano graph
Using gpu device 0: Tesla M2075 (CNMeM is disabled, cuDNN not available)
[2016-11-25 14:57:10,425] >> Training started
[2016-11-25 14:58:45,974] >> epoch 0/10000, average cost 85.112228
[2016-11-25 15:01:35,288] >> epoch 0/20000, average cost 43.072765
[2016-11-25 15:03:17,314] >> epoch 0/30000, average cost 29.676579
[2016-11-25 15:05:51,042] >> epoch 0/40000, average cost 24.657906
[2016-11-25 15:07:25,148] >> epoch 0/50000, average cost 22.789745
[2016-11-25 15:09:58,569] >> epoch 0/60000, average cost 21.518450
[2016-11-25 15:11:41,403] >> epoch 0/70000, average cost 20.530602
[2016-11-25 15:14:34,539] >> epoch 0/80000, average cost 19.715855
[2016-11-25 15:16:15,211] >> epoch 0/90000, average cost 19.394354
[2016-11-25 15:18:50,758] >> epoch 0/100000, average cost 18.934042
[2016-11-25 15:20:29,014] >> epoch 0/110000, average cost 18.768568
[2016-11-25 15:23:08,147] >> epoch 0/120000, average cost 18.578609
[2016-11-25 15:24:49,906] >> epoch 0/130000, average cost 18.566082
[2016-11-25 15:27:23,672] >> epoch 0/140000, average cost 18.444960
[2016-11-25 15:30:10,247] >> epoch 0/150000, average cost 18.365011
[2016-11-25 15:31:44,738] >> epoch 0/160000, average cost 18.277344
[2016-11-25 15:33:45,334] >> epoch 0/170000, average cost 18.215609
[2016-11-25 15:34:29,289] >> epoch 1/178960, average cost 25.193710
[2016-11-25 15:37:18,997] >> epoch 1/190000, average cost 17.970461
[2016-11-25 15:39:44,350] >> epoch 1/200000, average cost 18.022892
[2016-11-25 15:41:10,868] >> epoch 1/210000, average cost 17.859735
[2016-11-25 15:43:06,539] >> epoch 1/220000, average cost 17.831060
[2016-11-25 15:44:27,485] >> epoch 1/230000, average cost 17.746532
[2016-11-25 15:46:27,584] >> epoch 1/240000, average cost 17.592922
[2016-11-25 15:47:43,738] >> epoch 1/250000, average cost 17.562124
[2016-11-25 15:49:25,133] >> epoch 1/260000, average cost 17.543837
[2016-11-25 15:50:43,821] >> epoch 1/270000, average cost 17.507372
[2016-11-25 15:52:19,729] >> epoch 1/280000, average cost 17.435120
[2016-11-25 15:53:48,562] >> epoch 1/290000, average cost 17.355682
[2016-11-25 15:54:59,686] >> epoch 1/300000, average cost 17.230787
[2016-11-25 15:56:32,496] >> epoch 1/310000, average cost 17.274546
[2016-11-25 15:57:39,263] >> epoch 1/320000, average cost 17.194483
[2016-11-25 15:59:14,092] >> epoch 1/330000, average cost 17.166439
[2016-11-25 16:00:21,496] >> epoch 1/340000, average cost 17.115618
[2016-11-25 16:01:48,441] >> epoch 1/350000, average cost 17.101084
[2016-11-25 16:02:28,418] >> epoch 2/357920, average cost 17.484390
[2016-11-25 16:04:17,700] >> epoch 2/370000, average cost 16.968016
[2016-11-25 16:05:45,579] >> epoch 2/380000, average cost 17.030436
[2016-11-25 16:06:53,053] >> epoch 2/390000, average cost 16.937038
[2016-11-25 16:08:20,662] >> epoch 2/400000, average cost 16.940104
[2016-11-25 16:09:30,662] >> epoch 2/410000, average cost 16.874077
[2016-11-25 16:10:57,364] >> epoch 2/420000, average cost 16.783327
[2016-11-25 16:12:30,144] >> epoch 2/430000, average cost 16.771351
[2016-11-25 16:13:30,355] >> epoch 2/440000, average cost 16.803980
[2016-11-25 16:15:02,297] >> epoch 2/450000, average cost 16.765051
[2016-11-25 16:16:04,391] >> epoch 2/460000, average cost 16.740931
[2016-11-25 16:17:36,188] >> epoch 2/470000, average cost 16.666054
[2016-11-25 16:18:44,037] >> epoch 2/480000, average cost 16.572128
[2016-11-25 16:20:08,277] >> epoch 2/490000, average cost 16.654890
[2016-11-25 16:21:13,460] >> epoch 2/500000, average cost 16.577885
[2016-11-25 16:22:52,737] >> epoch 2/510000, average cost 16.567596
[2016-11-25 16:24:04,842] >> epoch 2/520000, average cost 16.534811
[2016-11-25 16:25:29,313] >> epoch 2/530000, average cost 16.547459
[2016-11-25 16:25:59,885] >> epoch 3/536880, average cost 16.742445
[2016-11-25 16:28:22,169] >> epoch 3/550000, average cost 16.447348
[2016-11-25 16:29:22,026] >> epoch 3/560000, average cost 16.505850
[2016-11-25 16:30:51,653] >> epoch 3/570000, average cost 16.440660
[2016-11-25 16:31:52,427] >> epoch 3/580000, average cost 16.454695
[2016-11-25 16:33:16,257] >> epoch 3/590000, average cost 16.384077
[2016-11-25 16:34:21,509] >> epoch 3/600000, average cost 16.333838
[2016-11-25 16:35:51,742] >> epoch 3/610000, average cost 16.322464
[2016-11-25 16:36:59,762] >> epoch 3/620000, average cost 16.371296
[2016-11-25 16:38:30,738] >> epoch 3/630000, average cost 16.327394
[2016-11-25 16:39:38,192] >> epoch 3/640000, average cost 16.336506
[2016-11-25 16:40:56,885] >> epoch 3/650000, average cost 16.249992
[2016-11-25 16:42:20,872] >> epoch 3/660000, average cost 16.177019
[2016-11-25 16:43:51,334] >> epoch 3/670000, average cost 16.276400
[2016-11-25 16:44:54,032] >> epoch 3/680000, average cost 16.197556
[2016-11-25 16:46:19,985] >> epoch 3/690000, average cost 16.203327
[2016-11-25 16:47:47,575] >> epoch 3/700000, average cost 16.165493
[2016-11-25 16:48:49,124] >> epoch 3/710000, average cost 16.185410
[2016-11-25 16:49:17,471] >> epoch 4/715840, average cost 16.313004
[2016-11-25 16:51:38,172] >> epoch 4/730000, average cost 16.117655
[2016-11-25 16:52:37,881] >> epoch 4/740000, average cost 16.129196
[2016-11-25 16:54:07,869] >> epoch 4/750000, average cost 16.099358
[2016-11-25 16:55:14,314] >> epoch 4/760000, average cost 16.105108
[2016-11-25 16:56:42,646] >> epoch 4/770000, average cost 16.006824
[2016-11-25 16:57:51,551] >> epoch 4/780000, average cost 15.995797
[2016-11-25 16:59:21,891] >> epoch 4/790000, average cost 15.960661
