[2016-11-18 04:49:42,019] >> Loading model
[2016-11-18 04:49:44,699] >> Loading datasets
[2016-11-18 04:49:44,748] >> Reconstruction training started with arguments:
{'activation_noise': None,
 'adadelta': False,
 'adadelta_epsilon': '1e-6',
 'adadelta_rho': '0.95',
 'adagrad': False,
 'adagrad_decay': False,
 'batch_size': 128,
 'ce_sparsity': 0.01,
 'ce_sparsity_weight': 0.0,
 'compound': False,
 'corruption_level': 0.2,
 'datasets': (DatasetContainer [PFileStreamDataset@/home/ddraper/train.pfile],
              DatasetContainer [],
              DatasetContainer []),
 'epochs': 50,
 'fix_layers': [],
 'graph': False,
 'hooks': [],
 'l1_reg': '0.0',
 'l2_reg': '0.0',
 'layer_args': {},
 'layers': [1],
 'learning_rate': '0.01',
 'loss': u'mse',
 'minibatches': 2000000,
 'momentum': '',
 'noise': 'mask',
 'sparsity': 0.05,
 'sparsity_weight': 0.0,
 'validate': False,
 'verbosity': 1,
 'warn': False}
[2016-11-18 04:49:44,748] >> Reconstruction training started with da:
{'hidden_activation': u'sigmoid',
 u'loss': u'mse',
 'n_hidden': 1000,
 'n_visible': 966,
 'tied_weights': True,
 'visible_activation': u'tanh'}
[2016-11-18 04:49:44,748] >> Compiling theano graph
Using gpu device 0: Tesla M2075 (CNMeM is disabled, cuDNN not available)
[2016-11-18 04:51:18,840] >> Training started
[2016-11-18 04:53:18,593] >> epoch 0/10000, average cost 91.775711
[2016-11-18 04:56:46,419] >> epoch 0/20000, average cost 47.267113
[2016-11-18 04:58:12,725] >> epoch 0/30000, average cost 33.876701
[2016-11-18 05:01:04,512] >> epoch 0/40000, average cost 27.699631
[2016-11-18 05:02:43,377] >> epoch 0/50000, average cost 24.681662
[2016-11-18 05:06:15,166] >> epoch 0/60000, average cost 22.194332
[2016-11-18 05:08:27,669] >> epoch 0/70000, average cost 20.997620
[2016-11-18 05:11:14,401] >> epoch 0/80000, average cost 19.606565
[2016-11-18 05:12:55,380] >> epoch 0/90000, average cost 18.898060
[2016-11-18 05:16:47,738] >> epoch 0/100000, average cost 18.242168
[2016-11-18 05:18:46,295] >> epoch 0/110000, average cost 17.236973
[2016-11-18 05:21:19,657] >> epoch 0/120000, average cost 16.516592
[2016-11-18 05:22:59,800] >> epoch 0/130000, average cost 16.234892
[2016-11-18 05:26:21,488] >> epoch 0/140000, average cost 15.947008
[2016-11-18 05:29:15,489] >> epoch 0/150000, average cost 15.722505
[2016-11-18 05:30:52,833] >> epoch 0/160000, average cost 15.619843
[2016-11-18 05:33:51,718] >> epoch 0/170000, average cost 15.558239
[2016-11-18 05:36:10,740] >> epoch 0/180000, average cost 15.446451
[2016-11-18 05:39:35,417] >> epoch 0/190000, average cost 15.442667
[2016-11-18 05:41:28,129] >> epoch 0/200000, average cost 15.373693
[2016-11-18 05:45:15,185] >> epoch 0/210000, average cost 15.219288
[2016-11-18 05:46:57,691] >> epoch 0/220000, average cost 15.215243
[2016-11-18 05:49:46,232] >> epoch 0/230000, average cost 15.161769
[2016-11-18 05:51:21,599] >> epoch 0/240000, average cost 15.120469
[2016-11-18 05:53:47,919] >> epoch 0/250000, average cost 15.034779
[2016-11-18 05:55:22,467] >> epoch 0/260000, average cost 15.009741
[2016-11-18 05:59:00,506] >> epoch 0/270000, average cost 14.971689
[2016-11-18 06:01:18,372] >> epoch 0/280000, average cost 14.942238
[2016-11-18 06:04:40,264] >> epoch 0/290000, average cost 14.888515
[2016-11-18 06:08:05,984] >> epoch 0/300000, average cost 14.868319
[2016-11-18 06:10:20,311] >> epoch 0/310000, average cost 14.870220
[2016-11-18 06:13:36,142] >> epoch 0/320000, average cost 14.789819
[2016-11-18 06:15:36,333] >> epoch 0/330000, average cost 14.785631
[2016-11-18 06:15:48,901] >> epoch 1/333330, average cost 20.524462
[2016-11-18 06:21:35,521] >> epoch 1/350000, average cost 14.713403
[2016-11-18 06:24:36,679] >> epoch 1/360000, average cost 14.731949
[2016-11-18 06:26:33,909] >> epoch 1/370000, average cost 14.642952
[2016-11-18 06:29:38,274] >> epoch 1/380000, average cost 14.625605
[2016-11-18 06:31:49,633] >> epoch 1/390000, average cost 14.647312
[2016-11-18 06:35:03,113] >> epoch 1/400000, average cost 14.566781
[2016-11-18 06:37:22,865] >> epoch 1/410000, average cost 14.570561
[2016-11-18 06:40:58,371] >> epoch 1/420000, average cost 14.580925
[2016-11-18 06:42:54,268] >> epoch 1/430000, average cost 14.566886
[2016-11-18 06:46:06,024] >> epoch 1/440000, average cost 14.520332
[2016-11-18 06:48:37,290] >> epoch 1/450000, average cost 14.482873
[2016-11-18 06:52:19,137] >> epoch 1/460000, average cost 14.421875
[2016-11-18 06:54:32,136] >> epoch 1/470000, average cost 14.460311
[2016-11-18 06:59:04,117] >> epoch 1/480000, average cost 14.452393
[2016-11-18 07:02:51,588] >> epoch 1/490000, average cost 14.405799
[2016-11-18 07:05:18,967] >> epoch 1/500000, average cost 14.418722
[2016-11-18 07:10:01,714] >> epoch 1/510000, average cost 14.356680
[2016-11-18 07:12:18,730] >> epoch 1/520000, average cost 14.378636
[2016-11-18 07:16:36,930] >> epoch 1/530000, average cost 14.379802
[2016-11-18 07:19:28,377] >> epoch 1/540000, average cost 14.298329
[2016-11-18 07:23:35,112] >> epoch 1/550000, average cost 14.289427
[2016-11-18 07:25:50,484] >> epoch 1/560000, average cost 14.272025
[2016-11-18 07:30:22,055] >> epoch 1/570000, average cost 14.301559
[2016-11-18 07:32:24,342] >> epoch 1/580000, average cost 14.218647
[2016-11-18 07:35:46,952] >> epoch 1/590000, average cost 14.242692
[2016-11-18 07:38:15,236] >> epoch 1/600000, average cost 14.230812
[2016-11-18 07:41:35,310] >> epoch 1/610000, average cost 14.196939
[2016-11-18 07:44:48,630] >> epoch 1/620000, average cost 14.213120
[2016-11-18 07:46:52,229] >> epoch 1/630000, average cost 14.166977
[2016-11-18 07:50:23,606] >> epoch 1/640000, average cost 14.212670
[2016-11-18 07:52:36,277] >> epoch 1/650000, average cost 14.176417
[2016-11-18 07:55:50,223] >> epoch 1/660000, average cost 14.162239
[2016-11-18 07:56:17,734] >> epoch 2/666660, average cost 14.405369
[2016-11-18 08:01:51,906] >> epoch 2/680000, average cost 14.115719
[2016-11-18 08:04:03,403] >> epoch 2/690000, average cost 14.182272
[2016-11-18 08:06:55,044] >> epoch 2/700000, average cost 14.123172
[2016-11-18 08:08:49,711] >> epoch 2/710000, average cost 14.095036
[2016-11-18 08:12:36,436] >> epoch 2/720000, average cost 14.135140
[2016-11-18 08:14:28,270] >> epoch 2/730000, average cost 14.092032
[2016-11-18 08:18:10,954] >> epoch 2/740000, average cost 14.074329
[2016-11-18 08:20:35,137] >> epoch 2/750000, average cost 14.107039
[2016-11-18 08:24:15,385] >> epoch 2/760000, average cost 14.103469
[2016-11-18 08:26:09,735] >> epoch 2/770000, average cost 14.098969
[2016-11-18 08:28:55,382] >> epoch 2/780000, average cost 14.041681
[2016-11-18 08:30:46,345] >> epoch 2/790000, average cost 14.002259
[2016-11-18 08:34:45,164] >> epoch 2/800000, average cost 14.060936
[2016-11-18 08:39:52,009] >> epoch 2/810000, average cost 14.040866
[2016-11-18 08:44:25,436] >> epoch 2/820000, average cost 14.027195
[2016-11-18 08:47:52,102] >> epoch 2/830000, average cost 14.028293
[2016-11-18 08:49:37,264] >> epoch 2/840000, average cost 13.993730
[2016-11-18 08:52:09,821] >> epoch 2/850000, average cost 13.989040
[2016-11-18 08:53:47,921] >> epoch 2/860000, average cost 14.024814
[2016-11-18 08:56:38,171] >> epoch 2/870000, average cost 13.987420
[2016-11-18 08:58:31,046] >> epoch 2/880000, average cost 13.914186
[2016-11-18 09:01:09,322] >> epoch 2/890000, average cost 13.944589
[2016-11-18 09:02:43,343] >> epoch 2/900000, average cost 13.961575
[2016-11-18 09:05:39,828] >> epoch 2/910000, average cost 13.894894
[2016-11-18 09:07:20,899] >> epoch 2/920000, average cost 13.909169
[2016-11-18 09:10:06,706] >> epoch 2/930000, average cost 13.898945
[2016-11-18 09:11:48,808] >> epoch 2/940000, average cost 13.873304
[2016-11-18 09:14:45,832] >> epoch 2/950000, average cost 13.910042
[2016-11-18 09:17:38,972] >> epoch 2/960000, average cost 13.845879
[2016-11-18 09:19:27,919] >> epoch 2/970000, average cost 13.902622
[2016-11-18 09:22:20,513] >> epoch 2/980000, average cost 13.892769
[2016-11-18 09:24:05,404] >> epoch 2/990000, average cost 13.845109
[2016-11-18 09:25:54,098] >> epoch 3/999990, average cost 14.001016
[2016-11-18 09:29:14,274] >> epoch 3/1010000, average cost 13.823837
[2016-11-18 09:31:58,720] >> epoch 3/1020000, average cost 13.862967
