[2016-11-23 07:37:15,162] >> Loading model
[2016-11-23 07:37:15,933] >> Loading datasets
[2016-11-23 07:37:15,942] >> Reconstruction training started with arguments:
{'activation_noise': None,
 'adadelta': False,
 'adadelta_epsilon': '1e-6',
 'adadelta_rho': '0.95',
 'adagrad': False,
 'adagrad_decay': False,
 'batch_size': 128,
 'ce_sparsity': 0.01,
 'ce_sparsity_weight': 0.0,
 'compound': False,
 'corruption_level': 0.2,
 'datasets': (DatasetContainer [PFileStreamDataset@/export/data1/data/ddraper/train.4.pfile],
              DatasetContainer [],
              DatasetContainer []),
 'epochs': 50,
 'fix_layers': [],
 'graph': False,
 'hooks': [],
 'l1_reg': '0.0',
 'l2_reg': '0.0',
 'layer_args': {},
 'layers': [1],
 'learning_rate': '0.01',
 'loss': u'mse',
 'minibatches': 2000000,
 'momentum': '',
 'noise': 'mask',
 'sparsity': 0.05,
 'sparsity_weight': 0.0,
 'validate': False,
 'verbosity': 1,
 'warn': False}
[2016-11-23 07:37:15,942] >> Reconstruction training started with da:
{'hidden_activation': u'sigmoid',
 u'loss': u'mse',
 'n_hidden': 1000,
 'n_visible': 966,
 'tied_weights': True,
 'visible_activation': u'tanh'}
[2016-11-23 07:37:15,942] >> Compiling theano graph
Using gpu device 0: Tesla M2075 (CNMeM is disabled, cuDNN not available)
[2016-11-23 07:37:37,847] >> Training started
[2016-11-23 07:38:45,756] >> epoch 0/10000, average cost 89.655762
[2016-11-23 07:40:42,907] >> epoch 0/20000, average cost 42.069607
[2016-11-23 07:42:08,958] >> epoch 0/30000, average cost 28.737968
[2016-11-23 07:44:05,193] >> epoch 0/40000, average cost 23.038719
[2016-11-23 07:45:28,614] >> epoch 0/50000, average cost 20.965561
[2016-11-23 07:47:09,824] >> epoch 0/60000, average cost 19.779009
[2016-11-23 07:48:08,358] >> epoch 0/70000, average cost 18.482662
[2016-11-23 07:49:23,683] >> epoch 0/80000, average cost 17.816059
[2016-11-23 07:50:25,365] >> epoch 0/90000, average cost 17.655779
[2016-11-23 07:51:44,674] >> epoch 0/100000, average cost 17.547554
[2016-11-23 07:52:46,937] >> epoch 0/110000, average cost 17.413179
[2016-11-23 07:54:08,321] >> epoch 0/120000, average cost 17.313021
[2016-11-23 07:55:09,288] >> epoch 0/130000, average cost 17.164799
[2016-11-23 07:56:30,824] >> epoch 0/140000, average cost 17.136948
[2016-11-23 07:57:50,785] >> epoch 0/150000, average cost 17.031828
[2016-11-23 07:58:48,324] >> epoch 0/160000, average cost 16.962938
[2016-11-23 08:00:01,448] >> epoch 0/170000, average cost 16.912344
[2016-11-23 08:00:59,428] >> epoch 0/180000, average cost 16.796604
[2016-11-23 08:01:16,185] >> epoch 1/183474, average cost 23.887835
