[2016-12-18 18:34:50,563] >> Loading model
[2016-12-18 18:34:51,244] >> Loading datasets
[2016-12-18 18:34:51,245] >> Reconstruction training started with arguments:
{'activation_noise': None,
 'adadelta': False,
 'adadelta_epsilon': '1e-6',
 'adadelta_rho': '0.95',
 'adagrad': False,
 'adagrad_decay': False,
 'batch_size': 128,
 'ce_sparsity': 0.01,
 'ce_sparsity_weight': 0.0,
 'compound': False,
 'corruption_level': 0.2,
 'datasets': (DatasetContainer [PFileStreamDataset@/export/data1/data/ddraper/train.pfile],
              DatasetContainer [],
              DatasetContainer []),
 'epochs': 50,
 'fix_layers': [],
 'graph': False,
 'hooks': [],
 'l1_reg': '0.0',
 'l2_reg': '0.0',
 'layer_args': {},
 'layers': [1],
 'learning_rate': '0.01',
 'loss': u'mse',
 'minibatches': 2000000,
 'momentum': '',
 'noise': 'mask',
 'sparsity': 0.05,
 'sparsity_weight': 0.0,
 'validate': False,
 'verbosity': 1,
 'warn': False}
[2016-12-18 18:34:51,245] >> Reconstruction training started with da:
{'hidden_activation': u'sigmoid',
 u'loss': u'mse',
 'n_hidden': 1000,
 'n_visible': 966,
 'tied_weights': True,
 'visible_activation': u'tanh'}
[2016-12-18 18:34:51,245] >> Compiling theano graph
Using gpu device 0: Tesla M2075 (CNMeM is disabled, cuDNN not available)
[2016-12-18 18:35:12,696] >> Training started
[2016-12-18 18:36:14,043] >> epoch 0/10000, average cost 98.517372
[2016-12-18 18:37:00,278] >> epoch 0/20000, average cost 45.954849
[2016-12-18 18:37:49,322] >> epoch 0/30000, average cost 33.594860
[2016-12-18 18:38:41,606] >> epoch 0/40000, average cost 27.832340
[2016-12-18 18:39:30,179] >> epoch 0/50000, average cost 24.535238
[2016-12-18 18:40:21,605] >> epoch 0/60000, average cost 22.811447
[2016-12-18 18:41:14,741] >> epoch 0/70000, average cost 21.058466
[2016-12-18 18:42:07,108] >> epoch 0/80000, average cost 19.811953
[2016-12-18 18:43:01,868] >> epoch 0/90000, average cost 19.335817
[2016-12-18 18:43:48,405] >> epoch 0/100000, average cost 18.882685
[2016-12-18 18:44:36,220] >> epoch 0/110000, average cost 18.157345
[2016-12-18 18:45:27,209] >> epoch 0/120000, average cost 17.120338
[2016-12-18 18:46:16,881] >> epoch 0/130000, average cost 16.889420
[2016-12-18 18:47:17,656] >> epoch 0/140000, average cost 16.482403
[2016-12-18 18:48:22,702] >> epoch 0/150000, average cost 15.758666
[2016-12-18 18:49:12,362] >> epoch 0/160000, average cost 15.428145
[2016-12-18 18:50:13,478] >> epoch 0/170000, average cost 15.361611
[2016-12-18 18:51:09,392] >> epoch 0/180000, average cost 15.307828
[2016-12-18 18:52:06,660] >> epoch 0/190000, average cost 15.205049
[2016-12-18 18:52:56,967] >> epoch 0/200000, average cost 15.182274
[2016-12-18 18:53:49,219] >> epoch 0/210000, average cost 15.116044
[2016-12-18 18:54:48,059] >> epoch 0/220000, average cost 15.068081
[2016-12-18 18:55:45,606] >> epoch 0/230000, average cost 14.999963
[2016-12-18 18:56:35,794] >> epoch 0/240000, average cost 14.959703
[2016-12-18 18:57:28,322] >> epoch 0/250000, average cost 14.856585
[2016-12-18 18:58:28,506] >> epoch 0/260000, average cost 14.804967
[2016-12-18 18:59:24,471] >> epoch 0/270000, average cost 14.806626
[2016-12-18 19:00:17,563] >> epoch 0/280000, average cost 14.786233
[2016-12-18 19:01:38,530] >> epoch 0/290000, average cost 14.743419
[2016-12-18 19:02:40,098] >> epoch 0/300000, average cost 14.689844
[2016-12-18 19:03:37,220] >> epoch 0/310000, average cost 14.703853
[2016-12-18 19:04:36,396] >> epoch 0/320000, average cost 14.561362
[2016-12-18 19:05:23,496] >> epoch 0/330000, average cost 14.663367
[2016-12-18 19:05:36,187] >> epoch 1/333330, average cost 20.726086
[2016-12-18 19:07:43,664] >> epoch 1/350000, average cost 14.564258
[2016-12-18 19:08:54,569] >> epoch 1/360000, average cost 14.511344
[2016-12-18 19:09:48,958] >> epoch 1/370000, average cost 14.409303
[2016-12-18 19:10:58,207] >> epoch 1/380000, average cost 14.482353
[2016-12-18 19:11:48,450] >> epoch 1/390000, average cost 14.408950
[2016-12-18 19:12:55,885] >> epoch 1/400000, average cost 14.368763
[2016-12-18 19:13:49,932] >> epoch 1/410000, average cost 14.317611
[2016-12-18 19:14:58,390] >> epoch 1/420000, average cost 14.387022
[2016-12-18 19:15:51,394] >> epoch 1/430000, average cost 14.320625
[2016-12-18 19:16:57,567] >> epoch 1/440000, average cost 14.284410
[2016-12-18 19:17:54,613] >> epoch 1/450000, average cost 14.304898
[2016-12-18 19:19:02,071] >> epoch 1/460000, average cost 14.318570
[2016-12-18 19:20:00,194] >> epoch 1/470000, average cost 14.315846
[2016-12-18 19:21:11,810] >> epoch 1/480000, average cost 14.262940
[2016-12-18 19:22:34,739] >> epoch 1/490000, average cost 14.222980
[2016-12-18 19:23:32,421] >> epoch 1/500000, average cost 14.222110
[2016-12-18 19:24:44,683] >> epoch 1/510000, average cost 14.233086
[2016-12-18 19:25:45,550] >> epoch 1/520000, average cost 14.179873
[2016-12-18 19:26:46,598] >> epoch 1/530000, average cost 14.211283
[2016-12-18 19:28:08,156] >> epoch 1/540000, average cost 14.208442
[2016-12-18 19:29:18,472] >> epoch 1/550000, average cost 14.207612
[2016-12-18 19:30:20,726] >> epoch 1/560000, average cost 14.167369
[2016-12-18 19:31:21,419] >> epoch 1/570000, average cost 14.191360
[2016-12-18 19:32:26,474] >> epoch 1/580000, average cost 14.116094
[2016-12-18 19:33:27,173] >> epoch 1/590000, average cost 14.085585
[2016-12-18 19:34:26,885] >> epoch 1/600000, average cost 14.089016
[2016-12-18 19:35:32,767] >> epoch 1/610000, average cost 14.129147
[2016-12-18 19:36:42,226] >> epoch 1/620000, average cost 14.107951
[2016-12-18 19:37:37,610] >> epoch 1/630000, average cost 14.075933
[2016-12-18 19:38:45,995] >> epoch 1/640000, average cost 14.139872
[2016-12-18 19:39:42,492] >> epoch 1/650000, average cost 13.979566
[2016-12-18 19:40:49,115] >> epoch 1/660000, average cost 14.080037
[2016-12-18 19:41:30,137] >> epoch 2/666660, average cost 14.251346
